Nom_Fichier,Y_Smax
Dataset_X_sc_1.csv,64053.0
Dataset_X_sc_2.csv,17172.0
Dataset_X_sc_3.csv,266841.0
Dataset_X_sc_4.csv,269802.0
Dataset_X_sc_5.csv,0.0
Dataset_X_sc_6.csv,152775.0
Dataset_X_sc_7.csv,71937.0
Dataset_X_sc_8.csv,200160.0
Dataset_X_sc_9.csv,96966.0
Dataset_X_sc_10.csv,166437.0
Dataset_X_sc_11.csv,260757.0
Dataset_X_sc_12.csv,162387.0
Dataset_X_sc_13.csv,267345.0
Dataset_X_sc_14.csv,290052.0
Dataset_X_sc_15.csv,43713.0
Dataset_X_sc_16.csv,125028.0
Dataset_X_sc_17.csv,242064.0
Dataset_X_sc_18.csv,144.0
Dataset_X_sc_19.csv,1188.0
Dataset_X_sc_20.csv,7938.0
Dataset_X_sc_21.csv,0.0
Dataset_X_sc_22.csv,4878.0
Dataset_X_sc_23.csv,37143.0
Dataset_X_sc_24.csv,196767.0
Dataset_X_sc_25.csv,89640.0
Dataset_X_sc_26.csv,189891.0
Dataset_X_sc_27.csv,160740.0
Dataset_X_sc_28.csv,12330.0
Dataset_X_sc_29.csv,351.0
Dataset_X_sc_30.csv,16263.0
Dataset_X_sc_31.csv,306486.0
Dataset_X_sc_32.csv,0.0
Dataset_X_sc_33.csv,10755.0
Dataset_X_sc_34.csv,200691.0
Dataset_X_sc_35.csv,227970.0
Dataset_X_sc_36.csv,194877.0
Dataset_X_sc_37.csv,0.0
Dataset_X_sc_38.csv,0.0
Dataset_X_sc_39.csv,251307.0
Dataset_X_sc_40.csv,39312.0
Dataset_X_sc_41.csv,0.0
Dataset_X_sc_42.csv,223497.0
Dataset_X_sc_43.csv,0.0
Dataset_X_sc_44.csv,4797.0
Dataset_X_sc_45.csv,27117.0
Dataset_X_sc_46.csv,172278.0
Dataset_X_sc_47.csv,711.0
Dataset_X_sc_48.csv,311400.0
Dataset_X_sc_49.csv,7524.0
Dataset_X_sc_50.csv,157203.0
Dataset_X_sc_51.csv,264330.0
Dataset_X_sc_52.csv,193779.0
Dataset_X_sc_53.csv,0.0
Dataset_X_sc_54.csv,3132.0
Dataset_X_sc_55.csv,1926.0
Dataset_X_sc_56.csv,48978.0
