t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.82,0.3,0.85,7.35,22.84,248.39,19.36,233.01
-170,0.82,0.49,0.84,7.36,22.9,248.42,19.24,233.96
-160,0.82,0.67,0.85,7.39,22.96,248.15,19.13,234.72
-150,0.82,0.85,0.85,7.4,23.06,247.91,19.09,235.61
-140,0.82,1.01,0.84,7.41,23.17,247.77,19.02,236.36
-130,0.82,1.18,0.84,7.43,23.29,247.58,18.97,237.37
-120,0.82,1.33,0.84,7.44,23.41,247.76,18.95,238.51
-110,0.82,1.48,0.84,7.46,23.49,248.1,18.88,240.64
-100,0.82,1.61,0.84,7.47,23.55,248.26,18.81,242.39
-90,0.82,1.73,0.84,7.49,23.6,248.42,18.7,244.03
-80,0.82,1.83,0.84,7.5,23.65,248.2,18.58,245.83
-70,0.82,1.93,0.84,7.52,23.69,247.76,18.46,246.6
-60,0.82,2.01,0.84,7.53,23.78,246.9,18.35,246.69
-50,0.82,2.09,0.84,7.55,23.9,246.23,18.26,246.55
-40,0.82,2.14,0.83,7.55,24.01,245.52,18.12,246.68
-30,0.82,2.19,0.83,7.57,24.1,244.79,18.0,246.34
-20,0.82,2.23,0.83,7.58,24.19,244.28,17.9,244.83
-10,0.82,2.24,0.83,7.59,24.28,243.9,17.76,243.07
0,0.82,2.25,0.83,7.61,24.34,243.89,17.62,240.85
10,0.82,2.24,0.83,7.62,24.37,243.61,17.52,238.69
20,0.82,2.22,0.82,7.62,24.42,243.36,17.42,236.76
30,0.82,2.18,0.82,7.63,24.5,243.23,17.33,234.47
40,0.82,2.13,0.82,7.64,24.61,243.49,17.23,232.97
50,0.82,2.07,0.81,7.64,24.71,243.76,17.15,232.14
60,0.82,2.0,0.81,7.65,24.84,244.03,17.06,231.19
70,0.82,1.91,0.81,7.66,24.98,244.98,17.0,230.12
80,0.82,1.81,0.8,7.66,25.06,245.96,16.98,229.43
90,0.82,1.7,0.8,7.67,25.15,247.11,16.95,229.78
100,0.82,1.58,0.8,7.68,25.21,248.0,16.92,230.43
110,0.82,1.44,0.79,7.69,25.28,249.05,16.94,230.75
120,0.82,1.29,0.79,7.68,25.32,249.82,17.03,231.14
130,0.82,1.14,0.79,7.69,25.39,250.11,17.14,230.98
140,0.82,0.98,0.79,7.7,25.5,250.0,17.18,230.47
150,0.82,0.8,0.79,7.71,25.6,249.53,17.18,229.34
160,0.82,0.63,0.78,7.71,25.73,248.79,17.16,227.65
170,0.82,0.45,0.78,7.72,25.86,247.53,17.19,226.33
180,0.82,0.26,0.78,7.72,25.97,246.53,17.18,225.02
