t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.41,0.42,0.74,5.33,13.41,249.25,11.17,234.78
-170,0.41,0.59,0.74,5.33,13.47,249.23,11.05,235.92
-160,0.41,0.76,0.74,5.33,13.52,249.2,10.92,237.06
-150,0.41,0.93,0.73,5.32,13.58,249.18,10.8,238.2
-140,0.41,1.08,0.73,5.32,13.64,249.16,10.67,239.34
-130,0.41,1.23,0.73,5.32,13.69,249.13,10.55,240.48
-120,0.41,1.37,0.72,5.32,13.75,249.11,10.42,241.62
-110,0.41,1.49,0.72,5.32,13.81,249.09,10.3,242.75
-100,0.41,1.61,0.72,5.32,13.86,249.06,10.17,243.89
-90,0.41,1.72,0.72,5.31,13.92,249.04,10.05,245.03
-80,0.41,1.82,0.71,5.31,13.97,249.02,9.92,246.17
-70,0.41,1.9,0.71,5.31,14.03,248.99,9.8,247.31
-60,0.41,1.98,0.71,5.31,14.09,248.97,9.67,248.45
-50,0.41,2.04,0.71,5.31,14.14,248.94,9.54,249.59
-40,0.41,2.09,0.7,5.31,14.2,248.92,9.42,250.73
-30,0.41,2.13,0.7,5.3,14.25,248.9,9.29,251.87
-20,0.41,2.15,0.7,5.3,14.31,248.87,9.17,253.01
-10,0.41,2.17,0.69,5.3,14.37,248.85,9.04,254.15
0,0.41,2.17,0.69,5.3,14.42,248.83,8.92,255.29
10,0.41,2.16,0.69,5.3,14.48,248.8,8.79,256.43
20,0.41,2.13,0.69,5.29,14.54,248.78,8.67,257.57
30,0.41,2.09,0.68,5.29,14.59,248.76,8.54,258.71
40,0.41,2.04,0.68,5.29,14.65,248.73,8.42,259.85
50,0.41,1.98,0.68,5.29,14.7,248.71,8.29,260.99
60,0.41,1.9,0.68,5.29,14.76,248.69,8.17,262.13
70,0.41,1.81,0.67,5.29,14.82,248.66,8.04,263.27
80,0.41,1.7,0.67,5.28,14.87,248.64,7.92,264.41
90,0.41,1.59,0.67,5.28,14.93,248.62,7.79,265.55
100,0.41,1.46,0.67,5.28,14.99,248.59,7.67,266.69
110,0.41,1.32,0.66,5.28,15.04,248.57,7.54,267.83
120,0.41,1.17,0.66,5.28,15.1,248.54,7.42,268.97
130,0.41,1.0,0.66,5.27,15.15,248.52,7.29,270.11
140,0.41,0.83,0.65,5.27,15.21,248.5,7.16,271.25
150,0.41,0.66,0.65,5.27,15.27,248.47,7.04,272.39
160,0.41,0.47,0.65,5.28,15.34,248.53,6.98,273.01
170,0.41,0.28,0.64,5.29,15.41,248.59,6.92,273.63
180,0.41,0.08,0.64,5.3,15.48,248.65,6.86,274.25
