t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.42,0.27,-0.0,0.59,8.35,267.27,3.73,98.5
-170,0.42,0.44,-0.0,0.59,8.35,267.29,3.75,98.76
-160,0.42,0.61,-0.0,0.59,8.34,267.32,3.78,99.01
-150,0.42,0.76,-0.0,0.59,8.34,267.34,3.8,99.26
-140,0.42,0.91,-0.0,0.59,8.33,267.36,3.82,99.52
-130,0.42,1.06,0.0,0.6,8.33,267.38,3.84,99.77
-120,0.42,1.19,0.0,0.6,8.33,267.41,3.86,100.02
-110,0.42,1.32,0.0,0.6,8.32,267.43,3.88,100.28
-100,0.42,1.43,0.0,0.6,8.32,267.45,3.9,100.53
-90,0.42,1.54,0.0,0.6,8.31,267.47,3.92,100.78
-80,0.42,1.64,0.0,0.6,8.31,267.49,3.94,101.04
-70,0.42,1.72,0.0,0.6,8.31,267.52,3.96,101.29
-60,0.42,1.8,0.0,0.6,8.3,267.54,3.98,101.54
-50,0.42,1.86,0.0,0.6,8.3,267.56,4.0,101.8
-40,0.42,1.92,0.0,0.61,8.29,267.58,4.02,102.05
-30,0.42,1.96,0.0,0.61,8.29,267.61,4.04,102.3
-20,0.42,1.99,0.0,0.61,8.29,267.63,4.06,102.56
-10,0.42,2.01,0.0,0.61,8.28,267.65,4.09,102.81
0,0.42,2.01,0.0,0.61,8.28,267.67,4.11,103.06
10,0.42,2.0,0.0,0.61,8.27,267.69,4.13,103.32
20,0.42,1.98,0.0,0.61,8.27,267.72,4.15,103.57
30,0.42,1.95,0.0,0.61,8.27,267.74,4.17,103.82
40,0.42,1.9,0.0,0.62,8.26,267.76,4.19,104.08
50,0.42,1.84,0.0,0.62,8.26,267.78,4.21,104.33
60,0.42,1.76,0.0,0.62,8.25,267.81,4.23,104.59
70,0.42,1.67,0.0,0.62,8.25,267.83,4.25,104.84
80,0.42,1.56,0.0,0.62,8.25,267.85,4.27,105.09
90,0.42,1.45,0.0,0.62,8.24,267.87,4.29,105.35
100,0.42,1.32,0.0,0.62,8.24,267.9,4.31,105.6
110,0.42,1.18,0.0,0.62,8.23,267.92,4.33,105.85
120,0.42,1.02,0.0,0.62,8.23,267.99,4.31,106.18
130,0.42,0.86,0.0,0.62,8.22,268.06,4.29,106.5
140,0.42,0.69,0.0,0.63,8.22,268.12,4.27,106.82
150,0.42,0.51,0.0,0.63,8.21,268.19,4.24,107.15
160,0.42,0.32,0.0,0.63,8.21,268.26,4.22,107.47
170,0.42,0.13,0.0,0.63,8.2,268.33,4.2,107.79
180,0.42,-0.06,0.0,0.63,8.2,268.4,4.18,108.12
