t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.532,0.47,0.23,3.45,9.97,254.0,13.81,204.03
-170,0.532,0.67,0.23,3.47,10.0,254.0,13.75,203.39
-160,0.532,0.86,0.21,3.48,10.03,254.0,13.69,202.76
-150,0.532,1.03,0.21,3.5,10.07,254.0,13.63,202.12
-140,0.532,1.18,0.22,3.52,10.1,254.0,13.57,201.48
-130,0.532,1.32,0.23,3.54,10.12,254.0,13.83,201.54
-120,0.532,1.47,0.24,3.56,10.14,254.0,14.1,201.6
-110,0.532,1.64,0.24,3.59,10.15,254.0,14.36,201.65
-100,0.532,1.8,0.23,3.61,10.17,254.0,14.63,201.71
-90,0.532,1.95,0.23,3.63,10.19,254.0,14.89,201.77
-80,0.532,2.06,0.22,3.66,10.2,254.0,15.15,201.83
-70,0.532,2.15,0.22,3.69,10.22,254.0,15.3,201.39
-60,0.532,2.22,0.22,3.71,10.24,254.0,15.44,200.95
-50,0.532,2.28,0.23,3.74,10.26,254.0,15.58,200.51
-40,0.532,2.32,0.25,3.77,10.27,254.0,15.72,200.06
-30,0.532,2.36,0.26,3.8,10.29,254.0,15.86,199.62
-20,0.532,2.39,0.27,3.83,10.31,254.0,16.01,199.18
-10,0.532,2.42,0.28,3.85,10.29,254.0,16.18,200.16
0,0.532,2.42,0.29,3.87,10.27,254.0,16.36,201.14
10,0.532,2.4,0.29,3.9,10.26,254.0,16.54,202.12
20,0.532,2.37,0.27,3.92,10.24,254.0,16.71,203.1
30,0.532,2.34,0.26,3.94,10.22,254.0,16.89,204.08
40,0.532,2.29,0.25,3.97,10.2,254.0,17.07,205.06
50,0.532,2.21,0.25,3.98,10.2,254.0,16.83,206.1
60,0.532,2.12,0.24,3.99,10.2,254.0,16.59,207.14
70,0.532,2.01,0.23,4.0,10.2,254.0,16.35,208.18
80,0.532,1.88,0.23,4.01,10.2,254.0,16.11,209.22
90,0.532,1.73,0.23,4.02,10.2,254.0,15.87,210.25
100,0.532,1.55,0.23,4.03,10.2,254.0,15.63,211.29
110,0.532,1.38,0.25,4.03,10.22,254.0,15.51,213.55
120,0.532,1.21,0.26,4.03,10.24,254.0,15.4,215.81
130,0.532,1.05,0.27,4.02,10.26,254.0,15.28,218.07
140,0.532,0.86,0.27,4.02,10.27,254.0,15.17,220.33
150,0.532,0.66,0.27,4.02,10.29,254.0,15.05,222.59
160,0.532,0.47,0.27,4.02,10.31,254.0,14.94,224.84
170,0.532,0.27,0.27,4.01,10.31,253.83,14.62,226.52
180,0.532,0.08,0.25,3.99,10.31,253.67,14.29,228.2
