t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.699,0.29,0.24,5.32,16.0,251.29,10.6,160.83
-170,0.699,0.46,0.24,5.31,15.99,251.29,10.4,162.08
-160,0.699,0.62,0.24,5.3,15.97,251.29,10.19,163.33
-150,0.699,0.78,0.23,5.29,15.96,251.29,9.98,164.57
-140,0.699,0.93,0.23,5.28,15.94,251.29,9.78,165.82
-130,0.699,1.07,0.24,5.27,15.93,251.29,9.57,164.33
-120,0.699,1.2,0.24,5.26,15.91,251.29,9.37,162.85
-110,0.699,1.33,0.24,5.26,15.9,251.29,9.16,161.36
-100,0.699,1.44,0.25,5.25,15.88,251.29,8.95,159.88
-90,0.699,1.55,0.25,5.24,15.87,251.29,8.75,158.39
-80,0.699,1.64,0.26,5.23,15.85,251.29,8.54,156.91
-70,0.699,1.73,0.26,5.22,15.84,251.29,8.67,154.47
-60,0.699,1.8,0.26,5.21,15.82,251.29,8.8,152.03
-50,0.699,1.86,0.26,5.2,15.81,251.29,8.92,149.59
-40,0.699,1.91,0.27,5.19,15.79,251.29,9.05,147.15
-30,0.699,1.95,0.27,5.18,15.78,251.29,9.17,144.72
-20,0.699,1.97,0.27,5.17,15.76,251.29,9.3,142.28
-10,0.699,1.99,0.27,5.17,15.75,251.29,9.1,139.84
0,0.699,1.99,0.28,5.16,15.73,251.29,8.9,137.4
10,0.699,1.97,0.28,5.15,15.72,251.29,8.7,134.96
20,0.699,1.95,0.28,5.14,15.7,251.29,8.5,132.52
30,0.699,1.9,0.28,5.13,15.69,251.29,8.29,130.09
40,0.699,1.85,0.28,5.12,15.67,251.29,8.09,127.65
50,0.699,1.78,0.29,5.11,15.66,251.29,7.66,154.21
60,0.699,1.7,0.29,5.1,15.64,251.29,7.23,180.77
70,0.699,1.61,0.29,5.09,15.63,251.29,6.8,207.33
80,0.699,1.51,0.29,5.08,15.61,251.29,6.37,233.9
90,0.699,1.39,0.3,5.08,15.6,251.29,5.94,260.46
100,0.699,1.26,0.3,5.07,15.58,251.29,5.51,287.02
110,0.699,1.13,0.3,5.06,15.57,251.29,6.45,281.85
120,0.699,0.98,0.3,5.05,15.55,251.29,7.38,276.68
130,0.699,0.82,0.3,5.04,15.54,251.29,8.32,271.51
140,0.699,0.66,0.31,5.03,15.52,251.29,9.25,266.35
150,0.699,0.49,0.31,5.02,15.51,251.29,10.19,261.18
160,0.699,0.31,0.31,5.01,15.49,251.29,11.12,256.01
170,0.699,0.13,0.31,5.01,15.48,251.38,12.23,256.85
180,0.699,-0.05,0.32,5.0,15.47,251.47,13.33,257.69
