t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.62,0.22,0.22,2.89,10.57,239.28,13.12,306.67
-170,0.62,0.37,0.22,2.9,10.58,239.09,13.04,305.55
-160,0.62,0.53,0.22,2.91,10.62,238.61,12.96,303.44
-150,0.62,0.68,0.22,2.92,10.65,238.53,12.93,300.27
-140,0.62,0.83,0.22,2.93,10.7,237.97,12.9,296.96
-130,0.62,0.96,0.22,2.94,10.77,237.46,12.86,294.03
-120,0.62,1.09,0.22,2.95,10.87,237.55,12.87,291.13
-110,0.62,1.2,0.22,2.96,11.01,237.65,12.9,287.9
-100,0.62,1.31,0.22,2.98,11.18,237.95,12.94,285.88
-90,0.62,1.42,0.22,2.98,11.33,238.88,13.02,284.69
-80,0.62,1.51,0.23,2.99,11.49,240.23,13.15,284.75
-70,0.62,1.59,0.23,3.0,11.62,241.58,13.3,284.9
-60,0.62,1.66,0.22,3.02,11.72,242.38,13.4,285.22
-50,0.62,1.72,0.22,3.02,11.79,242.98,13.57,286.0
-40,0.62,1.77,0.22,3.04,11.9,243.45,13.71,285.97
-30,0.62,1.8,0.22,3.05,11.96,243.3,13.85,286.11
-20,0.62,1.83,0.22,3.06,12.02,243.07,13.94,285.63
-10,0.62,1.84,0.22,3.06,12.04,242.97,14.04,285.08
0,0.62,1.84,0.23,3.07,12.04,242.94,14.14,284.85
10,0.62,1.83,0.23,3.08,12.03,243.05,14.22,284.62
20,0.62,1.81,0.24,3.09,11.97,242.91,14.25,284.17
30,0.62,1.77,0.23,3.1,11.95,242.72,14.26,284.5
40,0.62,1.73,0.23,3.1,11.91,242.72,14.27,284.72
50,0.62,1.67,0.23,3.11,11.86,242.56,14.27,284.76
60,0.62,1.61,0.23,3.12,11.83,242.39,14.26,284.77
70,0.62,1.53,0.22,3.12,11.82,242.28,14.28,284.67
80,0.62,1.45,0.22,3.13,11.82,242.06,14.33,284.34
90,0.62,1.36,0.22,3.14,11.77,241.63,14.34,283.91
100,0.62,1.25,0.21,3.14,11.69,241.15,14.37,283.53
110,0.62,1.14,0.21,3.14,11.64,241.01,14.37,283.5
120,0.62,1.02,0.21,3.14,11.56,240.84,14.34,283.83
130,0.62,0.88,0.21,3.14,11.49,240.44,14.31,284.87
140,0.62,0.75,0.21,3.14,11.37,240.01,14.24,286.37
150,0.62,0.61,0.21,3.13,11.28,239.81,14.18,287.96
160,0.62,0.46,0.21,3.13,11.16,239.56,14.11,290.01
170,0.62,0.31,0.21,3.13,11.09,238.97,14.04,291.63
180,0.62,0.15,0.21,3.12,11.01,238.27,13.95,292.63
