t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.79,0.09,0.24,5.01,11.75,253.35,15.25,288.68
-170,1.79,0.28,0.24,5.0,11.67,253.6,15.25,286.29
-160,1.79,0.46,0.24,5.0,11.63,253.61,15.22,283.39
-150,1.79,0.63,0.24,5.0,11.6,253.25,15.18,279.97
-140,1.79,0.8,0.24,5.0,11.6,252.67,15.19,276.89
-130,1.79,0.96,0.24,4.99,11.64,252.05,15.21,274.32
-120,1.79,1.11,0.23,5.0,11.65,250.86,15.21,272.25
-110,1.79,1.25,0.24,4.99,11.7,249.57,15.22,270.77
-100,1.79,1.38,0.24,4.98,11.73,248.2,15.24,269.94
-90,1.79,1.5,0.25,4.98,11.71,246.97,15.25,269.41
-80,1.79,1.61,0.25,4.97,11.65,245.83,15.29,269.37
-70,1.79,1.71,0.25,4.97,11.57,244.76,15.33,269.89
-60,1.79,1.79,0.25,4.97,11.53,244.21,15.36,270.51
-50,1.79,1.87,0.25,4.96,11.47,243.72,15.42,271.9
-40,1.79,1.92,0.25,4.96,11.39,243.08,15.44,272.36
-30,1.79,1.97,0.25,4.96,11.33,242.36,15.46,273.24
-20,1.79,2.0,0.25,4.95,11.24,241.52,15.45,273.56
-10,1.79,2.01,0.25,4.95,11.19,240.5,15.43,273.93
0,1.79,2.02,0.26,4.94,11.15,239.56,15.41,273.46
10,1.79,2.01,0.26,4.94,11.12,238.79,15.36,273.09
20,1.79,1.98,0.26,4.93,11.13,238.47,15.35,273.21
30,1.79,1.95,0.25,4.94,11.14,238.07,15.33,273.26
40,1.79,1.9,0.25,4.92,11.17,237.72,15.34,272.02
50,1.79,1.84,0.24,4.92,11.17,237.46,15.42,269.87
60,1.79,1.76,0.24,4.92,11.16,237.51,15.52,266.84
70,1.79,1.68,0.24,4.91,11.12,237.59,15.58,263.3
80,1.79,1.58,0.25,4.91,11.09,237.74,15.69,259.1
90,1.79,1.48,0.24,4.9,11.02,238.39,15.8,255.66
100,1.79,1.36,0.25,4.9,10.98,238.85,15.85,252.4
110,1.79,1.23,0.25,4.9,10.95,239.32,15.88,249.49
120,1.79,1.09,0.25,4.89,10.93,239.62,15.96,246.97
130,1.79,0.95,0.25,4.89,10.95,240.01,16.02,244.62
140,1.79,0.8,0.26,4.88,10.98,240.15,16.04,242.3
150,1.79,0.64,0.26,4.87,11.02,240.19,16.04,239.57
160,1.79,0.47,0.25,4.86,11.05,240.55,16.03,237.21
170,1.79,0.31,0.25,4.86,11.1,241.38,16.01,234.6
180,1.79,0.13,0.25,4.85,11.17,242.33,15.98,232.16
