t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.48,-0.1,0.11,3.86,10.52,257.4,12.78,258.23
-170,1.48,0.13,0.11,3.87,10.52,257.8,12.84,257.92
-160,1.48,0.35,0.11,3.86,10.46,258.07,12.85,257.62
-150,1.48,0.57,0.11,3.86,10.44,258.77,12.89,257.02
-140,1.48,0.77,0.11,3.86,10.41,259.51,12.9,257.22
-130,1.48,0.97,0.11,3.86,10.37,260.41,12.88,258.33
-120,1.48,1.16,0.11,3.86,10.35,261.84,12.86,259.17
-110,1.48,1.35,0.1,3.86,10.31,263.08,12.84,259.43
-100,1.48,1.51,0.1,3.86,10.32,263.65,12.89,259.57
-90,1.48,1.67,0.11,3.86,10.36,264.17,12.93,259.92
-80,1.48,1.81,0.1,3.85,10.37,264.47,12.95,260.18
-70,1.48,1.93,0.1,3.86,10.34,264.66,12.95,259.84
-60,1.48,2.03,0.1,3.85,10.33,264.81,13.01,259.77
-50,1.48,2.12,0.1,3.85,10.33,264.94,13.08,259.59
-40,1.48,2.2,0.1,3.85,10.32,265.58,13.08,259.51
-30,1.48,2.26,0.1,3.84,10.31,266.07,13.07,259.48
-20,1.48,2.3,0.1,3.84,10.33,267.04,13.12,258.77
-10,1.48,2.33,0.1,3.84,10.37,267.99,13.18,258.14
0,1.48,2.34,0.1,3.84,10.4,268.64,13.24,257.46
10,1.48,2.33,0.1,3.83,10.41,269.21,13.31,256.61
20,1.48,2.31,0.1,3.83,10.42,269.64,13.41,255.47
30,1.48,2.27,0.1,3.83,10.44,270.03,13.47,253.9
40,1.48,2.21,0.1,3.83,10.46,270.08,13.53,252.46
50,1.48,2.14,0.1,3.83,10.44,269.8,13.51,250.91
60,1.48,2.06,0.1,3.83,10.43,269.65,13.47,249.46
70,1.48,1.97,0.1,3.83,10.45,269.79,13.4,248.91
80,1.48,1.86,0.1,3.83,10.46,270.29,13.34,248.08
90,1.48,1.74,0.1,3.82,10.46,270.29,13.3,247.67
100,1.48,1.6,0.1,3.83,10.45,270.2,13.19,248.13
110,1.48,1.46,0.1,3.83,10.46,270.59,13.11,248.4
120,1.48,1.31,0.1,3.84,10.48,270.76,12.97,248.2
130,1.48,1.15,0.1,3.83,10.44,270.86,12.82,248.7
140,1.48,0.98,0.1,3.83,10.4,270.97,12.66,248.78
150,1.48,0.8,0.11,3.84,10.35,271.09,12.49,248.45
160,1.48,0.62,0.11,3.83,10.29,271.02,12.34,247.62
170,1.48,0.43,0.11,3.84,10.18,270.56,12.24,246.06
180,1.48,0.25,0.11,3.84,10.11,270.39,12.11,245.48
