t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.83,0.25,0.12,4.14,13.49,252.39,16.61,287.83
-170,1.83,0.44,0.12,4.13,13.55,253.13,16.86,287.2
-160,1.83,0.63,0.12,4.13,13.64,253.55,17.04,287.75
-150,1.83,0.81,0.12,4.13,13.73,253.76,17.24,288.69
-140,1.83,0.98,0.12,4.13,13.81,253.98,17.37,290.07
-130,1.83,1.14,0.12,4.12,13.9,253.94,17.47,291.81
-120,1.83,1.31,0.12,4.12,14.0,253.31,17.58,293.8
-110,1.83,1.44,0.12,4.12,14.04,252.78,17.72,296.49
-100,1.83,1.57,0.12,4.12,14.06,252.19,17.85,297.82
-90,1.83,1.69,0.12,4.12,14.03,251.44,17.98,298.76
-80,1.83,1.79,0.12,4.12,13.99,251.43,18.1,299.1
-70,1.83,1.89,0.12,4.11,13.95,251.13,18.24,299.04
-60,1.83,1.97,0.12,4.12,13.86,251.17,18.34,299.52
-50,1.83,2.03,0.12,4.12,13.76,251.03,18.44,299.11
-40,1.83,2.09,0.12,4.11,13.68,251.01,18.53,298.69
-30,1.83,2.13,0.12,4.11,13.6,251.11,18.63,298.32
-20,1.83,2.16,0.13,4.11,13.49,251.16,18.72,298.28
-10,1.83,2.17,0.13,4.1,13.4,251.44,18.79,297.56
0,1.83,2.18,0.13,4.11,13.34,251.55,18.83,296.48
10,1.83,2.16,0.13,4.1,13.3,251.37,18.8,296.05
20,1.83,2.15,0.12,4.11,13.28,251.07,18.76,295.68
30,1.83,2.11,0.12,4.11,13.26,250.74,18.68,294.12
40,1.83,2.07,0.12,4.1,13.27,250.37,18.64,293.21
50,1.83,2.01,0.12,4.1,13.26,249.74,18.52,292.18
60,1.83,1.94,0.11,4.1,13.24,248.77,18.43,291.75
70,1.83,1.86,0.11,4.1,13.24,248.55,18.31,290.93
80,1.83,1.76,0.12,4.1,13.22,248.43,18.23,289.64
90,1.83,1.67,0.12,4.11,13.2,248.38,18.19,288.98
100,1.83,1.55,0.12,4.11,13.17,248.41,18.15,287.98
110,1.83,1.44,0.12,4.12,13.16,248.35,18.12,287.11
120,1.83,1.3,0.12,4.11,13.12,248.33,18.08,286.26
130,1.83,1.16,0.12,4.12,13.11,247.59,18.08,285.5
140,1.83,1.01,0.12,4.12,13.07,246.97,18.05,285.46
150,1.83,0.86,0.12,4.12,13.01,246.18,18.04,285.72
160,1.83,0.7,0.12,4.11,12.92,245.23,18.02,285.41
170,1.83,0.53,0.11,4.12,12.85,244.26,18.03,284.75
180,1.83,0.35,0.12,4.12,12.82,243.35,18.04,283.76
