t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,5.46,15.78,234.12,13.57,289.97
-170,0.85,0.35,0.84,5.48,15.74,234.61,13.62,290.26
-160,0.85,0.58,0.84,5.49,15.72,234.97,13.64,290.34
-150,0.85,0.82,0.84,5.5,15.68,235.83,13.69,290.36
-140,0.85,1.04,0.83,5.51,15.68,236.43,13.74,290.04
-130,0.85,1.25,0.83,5.53,15.65,237.79,13.79,289.57
-120,0.85,1.45,0.84,5.54,15.65,239.04,13.85,289.19
-110,0.85,1.64,0.84,5.54,15.68,240.08,13.9,288.52
-100,0.85,1.8,0.84,5.56,15.73,241.15,13.92,287.49
-90,0.85,1.96,0.84,5.57,15.8,241.85,13.94,285.95
-80,0.85,2.1,0.84,5.58,15.84,243.19,13.95,284.06
-70,0.85,2.22,0.83,5.59,15.89,243.99,13.98,281.85
-60,0.85,2.33,0.83,5.6,15.92,244.64,14.0,279.29
-50,0.85,2.42,0.83,5.61,15.91,245.01,14.02,276.44
-40,0.85,2.49,0.83,5.62,15.88,245.5,14.1,274.16
-30,0.85,2.55,0.83,5.62,15.83,246.4,14.18,272.32
-20,0.85,2.59,0.83,5.64,15.77,247.22,14.26,270.22
-10,0.85,2.61,0.83,5.65,15.73,248.31,14.31,268.28
0,0.85,2.62,0.83,5.66,15.73,249.74,14.35,266.52
10,0.85,2.61,0.83,5.67,15.73,251.02,14.41,265.54
20,0.85,2.59,0.83,5.67,15.76,252.33,14.46,264.68
30,0.85,2.55,0.83,5.69,15.72,253.37,14.46,264.4
40,0.85,2.5,0.83,5.7,15.71,254.23,14.46,264.4
50,0.85,2.42,0.82,5.7,15.71,254.93,14.42,264.3
60,0.85,2.36,0.82,5.71,15.66,255.3,14.43,264.67
70,0.85,2.27,0.82,5.73,15.6,255.69,14.46,265.06
80,0.85,2.16,0.82,5.74,15.56,255.9,14.46,265.3
90,0.85,2.03,0.81,5.74,15.59,256.29,14.41,264.71
100,0.85,1.91,0.81,5.75,15.6,257.12,14.35,264.42
110,0.85,1.76,0.8,5.75,15.61,257.75,14.33,264.05
120,0.85,1.61,0.8,5.76,15.68,258.31,14.29,264.44
130,0.85,1.44,0.8,5.77,15.78,258.89,14.24,264.79
140,0.85,1.26,0.8,5.77,15.83,259.3,14.23,265.43
150,0.85,1.08,0.8,5.78,15.88,259.58,14.26,265.93
160,0.85,0.89,0.79,5.78,15.9,259.52,14.25,267.19
170,0.85,0.69,0.79,5.79,15.91,259.52,14.26,268.53
180,0.85,0.47,0.79,5.79,15.94,260.03,14.3,269.82
