t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,2.82,9.54,256.79,18.53,220.09
-170,0.85,0.35,0.84,2.83,9.68,256.75,18.46,220.98
-160,0.85,0.58,0.84,2.84,9.83,257.11,18.52,221.95
-150,0.85,0.82,0.84,2.84,9.97,256.89,18.52,222.49
-140,0.85,1.04,0.83,2.86,10.1,256.4,18.47,222.84
-130,0.85,1.25,0.83,2.87,10.24,256.02,18.38,223.48
-120,0.85,1.45,0.84,2.88,10.34,255.5,18.28,224.01
-110,0.85,1.64,0.84,2.89,10.42,254.94,18.23,224.28
-100,0.85,1.8,0.84,2.89,10.5,254.56,18.2,224.59
-90,0.85,1.96,0.84,2.9,10.57,253.62,18.18,225.48
-80,0.85,2.1,0.84,2.92,10.62,253.17,18.22,226.27
-70,0.85,2.22,0.83,2.93,10.64,252.39,18.25,227.68
-60,0.85,2.33,0.83,2.94,10.62,251.83,18.3,229.31
-50,0.85,2.42,0.83,2.95,10.62,251.36,18.34,232.62
-40,0.85,2.49,0.83,2.95,10.64,250.7,18.37,235.66
-30,0.85,2.55,0.83,2.96,10.63,250.34,18.41,238.34
-20,0.85,2.59,0.83,2.98,10.63,249.89,18.46,241.51
-10,0.85,2.61,0.83,2.99,10.62,249.63,18.48,243.81
0,0.85,2.62,0.83,3.0,10.68,249.33,18.5,245.77
10,0.85,2.61,0.83,3.0,10.73,249.02,18.53,247.51
20,0.85,2.59,0.83,3.01,10.76,248.68,18.55,249.51
30,0.85,2.55,0.83,3.02,10.84,248.46,18.58,251.3
40,0.85,2.5,0.83,3.02,10.9,248.4,18.6,252.48
50,0.85,2.42,0.82,3.04,10.91,248.56,18.66,253.03
60,0.85,2.36,0.82,3.05,10.96,248.44,18.7,253.62
70,0.85,2.27,0.82,3.05,10.99,248.39,18.68,254.15
80,0.85,2.16,0.82,3.05,10.97,247.9,18.61,255.54
90,0.85,2.03,0.81,3.05,10.93,247.31,18.5,256.45
100,0.85,1.91,0.81,3.06,10.86,246.77,18.37,257.14
110,0.85,1.76,0.8,3.07,10.79,246.02,18.19,258.49
120,0.85,1.61,0.8,3.07,10.73,245.52,18.02,260.68
130,0.85,1.44,0.8,3.07,10.66,245.76,17.84,262.34
140,0.85,1.26,0.8,3.08,10.67,246.33,17.66,263.64
150,0.85,1.08,0.8,3.1,10.68,247.16,17.53,264.8
160,0.85,0.89,0.79,3.1,10.67,247.64,17.42,265.58
170,0.85,0.69,0.79,3.11,10.64,248.01,17.29,266.04
180,0.85,0.47,0.79,3.11,10.62,248.01,17.22,266.51
