t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.33,0.16,0.39,5.13,12.95,259.74,14.1,132.07
-170,0.33,0.33,0.39,5.12,13.05,259.87,14.21,130.2
-160,0.33,0.51,0.39,5.12,13.15,259.84,14.31,128.75
-150,0.33,0.67,0.39,5.11,13.19,259.83,14.34,127.54
-140,0.33,0.82,0.38,5.11,13.25,259.86,14.39,127.16
-130,0.33,0.97,0.38,5.11,13.26,259.75,14.46,126.45
-120,0.33,1.11,0.38,5.11,13.26,259.25,14.54,126.51
-110,0.33,1.23,0.38,5.11,13.25,259.02,14.65,126.53
-100,0.33,1.36,0.38,5.11,13.27,258.18,14.72,126.45
-90,0.33,1.46,0.38,5.11,13.32,257.6,14.81,126.43
-80,0.33,1.56,0.37,5.11,13.35,257.51,14.87,125.3
-70,0.33,1.64,0.38,5.12,13.33,258.27,14.88,124.43
-60,0.33,1.71,0.38,5.12,13.31,259.05,14.89,124.72
-50,0.33,1.77,0.38,5.11,13.28,259.68,14.87,125.56
-40,0.33,1.82,0.39,5.11,13.25,260.55,14.84,126.11
-30,0.33,1.86,0.39,5.11,13.23,261.21,14.82,127.17
-20,0.33,1.9,0.38,5.12,13.21,261.68,14.79,127.53
-10,0.33,1.91,0.38,5.11,13.24,262.04,14.75,127.23
0,0.33,1.93,0.38,5.11,13.26,262.32,14.69,126.63
10,0.33,1.92,0.38,5.11,13.25,262.36,14.62,125.69
20,0.33,1.91,0.38,5.1,13.25,262.08,14.56,124.34
30,0.33,1.88,0.37,5.1,13.22,261.56,14.55,123.26
40,0.33,1.85,0.37,5.09,13.2,260.52,14.55,122.84
50,0.33,1.81,0.37,5.1,13.16,258.83,14.55,122.39
60,0.33,1.75,0.38,5.09,13.14,256.97,14.51,121.24
70,0.33,1.68,0.38,5.09,13.17,255.24,14.48,120.15
80,0.33,1.61,0.38,5.09,13.13,253.81,14.45,119.45
90,0.33,1.51,0.37,5.08,13.15,253.18,14.44,118.75
100,0.33,1.42,0.37,5.09,13.16,252.5,14.42,118.11
110,0.33,1.31,0.37,5.09,13.19,252.63,14.4,116.93
120,0.33,1.2,0.37,5.08,13.19,253.03,14.38,116.28
130,0.33,1.07,0.36,5.08,13.17,253.82,14.4,116.13
140,0.33,0.93,0.36,5.08,13.19,254.91,14.48,115.89
150,0.33,0.8,0.36,5.08,13.18,255.25,14.61,115.33
160,0.33,0.64,0.36,5.08,13.17,255.76,14.76,114.12
170,0.33,0.49,0.36,5.08,13.13,255.56,14.9,113.21
180,0.33,0.33,0.36,5.08,13.1,254.89,15.02,112.79
