t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.9,0.37,0.25,2.76,11.45,278.85,7.49,77.94
-170,1.9,0.51,0.26,2.75,11.54,278.85,7.44,78.73
-160,1.9,0.65,0.26,2.75,11.6,279.17,7.39,80.29
-150,1.9,0.78,0.26,2.76,11.61,280.3,7.32,82.16
-140,1.9,0.91,0.26,2.76,11.59,281.13,7.25,84.02
-130,1.9,1.03,0.26,2.76,11.53,282.11,7.16,85.58
-120,1.9,1.15,0.26,2.76,11.45,283.11,7.08,86.85
-110,1.9,1.25,0.26,2.76,11.36,284.12,7.03,88.23
-100,1.9,1.35,0.26,2.75,11.24,284.52,7.0,89.69
-90,1.9,1.44,0.26,2.76,11.19,283.72,6.97,90.83
-80,1.9,1.52,0.26,2.76,11.15,282.66,6.95,91.69
-70,1.9,1.59,0.26,2.76,11.14,281.18,6.92,92.98
-60,1.9,1.65,0.25,2.76,11.09,280.11,6.93,94.11
-50,1.9,1.71,0.26,2.78,11.05,279.25,6.92,95.42
-40,1.9,1.75,0.26,2.78,11.04,278.34,6.92,96.87
-30,1.9,1.79,0.27,2.78,10.98,277.61,6.93,98.09
-20,1.9,1.82,0.27,2.79,10.94,277.21,6.98,98.79
-10,1.9,1.83,0.27,2.79,10.87,277.31,7.01,98.86
0,1.9,1.83,0.26,2.79,10.82,277.2,7.0,97.69
10,1.9,1.82,0.26,2.8,10.78,277.03,7.01,97.47
20,1.9,1.8,0.26,2.8,10.74,276.47,7.01,97.18
30,1.9,1.77,0.27,2.8,10.72,275.79,6.98,96.61
40,1.9,1.73,0.27,2.82,10.68,275.06,7.01,97.0
50,1.9,1.67,0.27,2.82,10.63,274.22,7.05,98.15
60,1.9,1.62,0.27,2.83,10.64,273.34,7.06,99.78
70,1.9,1.54,0.27,2.83,10.64,272.26,7.09,101.6
80,1.9,1.45,0.28,2.84,10.64,271.36,7.12,103.43
90,1.9,1.36,0.28,2.84,10.62,270.75,7.15,105.14
100,1.9,1.25,0.28,2.85,10.59,270.1,7.19,107.16
110,1.9,1.14,0.27,2.86,10.55,269.15,7.24,109.35
120,1.9,1.01,0.27,2.85,10.5,268.03,7.27,111.6
130,1.9,0.88,0.27,2.86,10.44,267.25,7.26,114.18
140,1.9,0.74,0.28,2.86,10.39,266.4,7.21,116.19
150,1.9,0.59,0.28,2.86,10.32,264.9,7.19,118.02
160,1.9,0.44,0.28,2.87,10.27,263.45,7.14,119.69
170,1.9,0.28,0.28,2.86,10.23,262.16,7.09,120.9
180,1.9,0.12,0.29,2.87,10.21,261.57,7.05,121.9
