t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.332,0.37,0.12,4.4,12.16,258.99,11.54,283.81
-170,0.332,0.53,0.12,4.39,12.17,258.91,11.45,283.68
-160,0.332,0.69,0.12,4.39,12.19,258.83,11.36,283.55
-150,0.332,0.85,0.12,4.38,12.2,258.75,11.28,283.42
-140,0.332,1.0,0.12,4.37,12.21,258.67,11.19,283.3
-130,0.332,1.14,0.11,4.37,12.23,258.59,11.1,283.17
-120,0.332,1.27,0.11,4.36,12.24,258.51,11.01,283.04
-110,0.332,1.39,0.11,4.36,12.26,258.43,10.92,282.91
-100,0.332,1.5,0.11,4.35,12.27,258.35,10.84,282.78
-90,0.332,1.61,0.11,4.35,12.28,258.27,10.75,282.66
-80,0.332,1.7,0.11,4.34,12.3,258.19,10.66,282.53
-70,0.332,1.78,0.11,4.34,12.31,258.11,10.57,282.4
-60,0.332,1.85,0.1,4.33,12.33,258.03,10.48,282.27
-50,0.332,1.91,0.1,4.33,12.34,257.95,10.39,282.14
-40,0.332,1.96,0.1,4.32,12.35,257.87,10.31,282.02
-30,0.332,2.0,0.1,4.31,12.37,257.79,10.22,281.89
-20,0.332,2.02,0.1,4.31,12.38,257.71,10.13,281.76
-10,0.332,2.04,0.1,4.3,12.39,257.63,10.04,281.63
0,0.332,2.04,0.09,4.3,12.41,257.55,9.95,281.5
10,0.332,2.03,0.09,4.29,12.42,257.47,9.87,281.38
20,0.332,2.01,0.09,4.29,12.44,257.39,9.78,281.25
30,0.332,1.98,0.09,4.28,12.45,257.39,9.73,280.65
40,0.332,1.94,0.09,4.27,12.46,257.38,9.69,280.05
50,0.332,1.88,0.09,4.26,12.47,257.37,9.65,279.45
60,0.332,1.82,0.09,4.25,12.48,257.37,9.6,278.85
70,0.332,1.74,0.09,4.24,12.49,257.36,9.56,278.25
80,0.332,1.66,0.09,4.23,12.5,257.35,9.52,277.65
90,0.332,1.56,0.09,4.22,12.51,257.35,9.47,277.05
100,0.332,1.45,0.09,4.21,12.52,257.34,9.43,276.45
110,0.332,1.33,0.09,4.2,12.53,257.34,9.39,275.85
120,0.332,1.2,0.08,4.19,12.54,257.33,9.34,275.25
130,0.332,1.06,0.08,4.18,12.55,257.32,9.3,274.65
140,0.332,0.92,0.08,4.17,12.56,257.32,9.25,274.05
150,0.332,0.76,0.08,4.16,12.58,257.31,9.21,273.45
160,0.332,0.6,0.08,4.15,12.59,257.3,9.17,272.85
170,0.332,0.44,0.08,4.14,12.6,257.3,9.12,272.25
180,0.332,0.26,0.08,4.13,12.61,257.29,9.08,271.65
