t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.5,-0.0,0.1,3.27,12.43,266.73,10.79,269.52
-170,0.5,0.16,0.1,3.29,12.53,266.53,10.68,270.29
-160,0.5,0.32,0.1,3.3,12.63,266.32,10.58,271.06
-150,0.5,0.48,0.11,3.31,12.74,266.12,10.47,271.82
-140,0.5,0.63,0.11,3.32,12.84,265.91,10.37,272.59
-130,0.5,0.77,0.11,3.33,12.94,265.71,10.26,273.36
-120,0.5,0.9,0.11,3.34,13.04,265.5,10.16,274.12
-110,0.5,1.03,0.11,3.35,13.14,265.3,10.12,273.89
-100,0.5,1.15,0.12,3.36,13.25,265.09,10.07,273.65
-90,0.5,1.25,0.12,3.37,13.35,264.89,10.03,273.42
-80,0.5,1.35,0.12,3.38,13.45,264.68,9.99,273.19
-70,0.5,1.43,0.12,3.39,13.55,264.48,9.95,272.95
-60,0.5,1.5,0.13,3.4,13.65,264.27,9.91,272.72
-50,0.5,1.57,0.13,3.41,13.76,264.07,9.92,272.27
-40,0.5,1.62,0.13,3.42,13.86,263.86,9.92,271.81
-30,0.5,1.66,0.13,3.43,13.96,263.66,9.93,271.36
-20,0.5,1.68,0.13,3.44,14.06,263.45,9.94,270.91
-10,0.5,1.7,0.13,3.45,14.16,263.25,9.94,270.45
0,0.5,1.71,0.13,3.46,14.27,263.05,9.95,270.0
10,0.5,1.71,0.13,3.47,14.37,262.84,10.01,269.41
20,0.5,1.7,0.13,3.49,14.47,262.64,10.06,268.81
30,0.5,1.68,0.13,3.5,14.57,262.43,10.12,268.22
40,0.5,1.65,0.13,3.51,14.68,262.23,10.18,267.62
50,0.5,1.61,0.13,3.52,14.78,262.02,10.23,267.03
60,0.5,1.56,0.13,3.53,14.88,261.82,10.29,266.43
70,0.5,1.5,0.13,3.54,14.98,261.61,10.52,266.54
80,0.5,1.44,0.13,3.55,15.08,261.41,10.75,266.64
90,0.5,1.37,0.13,3.56,15.19,261.2,10.98,266.74
100,0.5,1.28,0.13,3.57,15.29,261.0,11.21,266.85
110,0.5,1.2,0.13,3.58,15.39,260.79,11.44,266.95
120,0.5,1.1,0.13,3.59,15.49,260.59,11.68,267.05
130,0.5,1.0,0.13,3.59,15.49,260.57,11.63,266.83
140,0.5,0.89,0.13,3.59,15.49,260.54,11.59,266.61
150,0.5,0.78,0.13,3.59,15.49,260.52,11.54,266.39
160,0.5,0.65,0.13,3.59,15.49,260.5,11.5,266.17
170,0.5,0.53,0.13,3.59,15.49,260.48,11.46,265.95
180,0.5,0.4,0.13,3.6,15.49,260.45,11.41,265.73
