t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.61,0.5,0.16,3.76,11.67,264.03,8.27,296.47
-170,1.61,0.65,0.16,3.76,11.63,264.01,8.28,297.23
-160,1.61,0.8,0.15,3.76,11.58,264.37,8.25,297.66
-150,1.61,0.94,0.15,3.77,11.58,264.3,8.18,297.92
-140,1.61,1.09,0.15,3.79,11.59,264.32,8.09,298.02
-130,1.61,1.21,0.15,3.79,11.57,263.82,8.02,298.0
-120,1.61,1.33,0.15,3.8,11.54,263.72,7.95,297.57
-110,1.61,1.44,0.15,3.81,11.48,263.83,7.87,296.28
-100,1.61,1.53,0.15,3.82,11.49,263.93,7.79,295.24
-90,1.61,1.62,0.15,3.82,11.5,264.64,7.74,294.0
-80,1.61,1.7,0.15,3.84,11.53,265.31,7.72,293.22
-70,1.61,1.77,0.15,3.85,11.53,266.52,7.71,292.67
-60,1.61,1.83,0.15,3.85,11.55,267.47,7.69,292.51
-50,1.61,1.88,0.15,3.86,11.59,268.36,7.7,293.39
-40,1.61,1.92,0.14,3.87,11.6,269.34,7.72,292.26
-30,1.61,1.96,0.14,3.87,11.6,270.12,7.74,291.64
-20,1.61,1.98,0.14,3.88,11.59,270.96,7.83,291.12
-10,1.61,2.0,0.14,3.89,11.61,271.22,7.94,290.69
0,1.61,2.0,0.14,3.9,11.59,271.23,8.07,289.35
10,1.61,1.99,0.14,3.91,11.58,271.1,8.21,287.5
20,1.61,1.98,0.14,3.92,11.56,270.8,8.36,286.16
30,1.61,1.95,0.14,3.93,11.52,270.45,8.45,284.22
40,1.61,1.9,0.13,3.93,11.47,269.96,8.49,282.4
50,1.61,1.85,0.13,3.93,11.43,268.99,8.55,280.21
60,1.61,1.78,0.12,3.94,11.47,268.36,8.69,278.55
70,1.61,1.7,0.12,3.94,11.48,267.28,8.81,276.22
80,1.61,1.61,0.12,3.95,11.49,266.32,8.89,274.62
90,1.61,1.51,0.11,3.95,11.54,265.73,9.03,272.89
100,1.61,1.39,0.11,3.96,11.6,264.89,9.18,271.12
110,1.61,1.26,0.12,3.97,11.66,264.63,9.26,269.06
120,1.61,1.12,0.12,3.97,11.66,264.51,9.3,267.46
130,1.61,0.97,0.12,3.98,11.68,264.93,9.34,266.39
140,1.61,0.8,0.13,3.99,11.75,265.01,9.4,264.68
150,1.61,0.63,0.13,4.0,11.82,264.78,9.49,262.65
160,1.61,0.45,0.13,4.01,11.9,264.77,9.54,260.74
170,1.61,0.27,0.13,4.02,12.0,264.71,9.6,259.6
180,1.61,0.08,0.12,4.03,12.07,264.31,9.6,258.6
