t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.7,0.31,0.1,0.73,13.99,266.67,4.33,22.6
-170,0.7,0.51,0.1,0.73,14.13,266.43,4.3,22.84
-160,0.7,0.71,0.1,0.73,14.27,266.19,4.27,23.08
-150,0.7,0.91,0.1,0.73,14.43,265.96,4.24,23.32
-140,0.7,1.09,0.1,0.71,14.57,265.72,4.22,23.56
-130,0.7,1.27,0.08,0.71,14.72,265.48,4.18,23.8
-120,0.7,1.43,0.08,0.71,14.86,265.25,4.16,24.04
-110,0.7,1.59,0.08,0.71,15.0,265.01,4.13,24.28
-100,0.7,1.73,0.08,0.71,15.16,264.77,4.1,24.52
-90,0.7,1.86,0.08,0.71,15.3,264.54,4.08,24.76
-80,0.7,1.98,0.08,0.71,15.44,264.3,4.05,25.0
-70,0.7,2.09,0.08,0.71,15.59,264.06,4.02,25.25
-60,0.7,2.18,0.08,0.71,15.74,263.82,3.99,25.49
-50,0.7,2.26,0.08,0.71,15.88,263.59,3.96,25.73
-40,0.7,2.32,0.08,0.71,16.03,263.35,3.93,25.97
-30,0.7,2.38,0.08,0.71,16.17,263.11,3.91,26.21
-20,0.7,2.41,0.08,0.7,16.32,262.88,3.87,26.45
-10,0.7,2.44,0.08,0.7,16.47,262.64,3.85,26.69
0,0.7,2.44,0.08,0.7,16.61,262.4,3.82,26.93
10,0.7,2.44,0.08,0.7,16.75,262.16,3.79,27.17
20,0.7,2.42,0.08,0.7,16.74,262.11,3.79,28.41
30,0.7,2.38,0.08,0.7,16.73,262.06,3.79,29.64
40,0.7,2.33,0.08,0.7,16.72,262.01,3.78,30.88
50,0.7,2.27,0.08,0.7,16.71,261.96,3.78,32.12
60,0.7,2.19,0.08,0.7,16.69,261.91,3.78,33.35
70,0.7,2.1,0.08,0.7,16.68,261.86,3.78,34.59
80,0.7,1.99,0.08,0.7,16.67,261.81,3.77,35.82
90,0.7,1.87,0.08,0.7,16.66,261.75,3.77,37.06
100,0.7,1.74,0.08,0.7,16.65,261.7,3.77,38.29
110,0.7,1.59,0.08,0.7,16.62,261.65,3.75,39.53
120,0.7,1.43,0.08,0.7,16.61,261.6,3.75,40.77
130,0.7,1.26,0.08,0.7,16.6,261.55,3.75,42.0
140,0.7,1.08,0.08,0.7,16.59,261.5,3.75,43.24
150,0.7,0.89,0.08,0.7,16.57,261.45,3.74,44.47
160,0.7,0.7,0.08,0.69,16.56,261.4,3.74,45.71
170,0.7,0.49,0.08,0.69,16.55,261.34,3.74,46.94
180,0.7,0.29,0.1,0.69,16.54,261.29,3.73,48.18
