t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.357,0.27,0.26,2.25,9.08,247.63,2.77,280.27
-170,0.357,0.46,0.26,2.25,9.08,247.66,2.81,280.12
-160,0.357,0.65,0.26,2.24,9.08,247.69,2.85,279.96
-150,0.357,0.83,0.26,2.24,9.08,247.73,2.88,279.81
-140,0.357,1.0,0.26,2.23,9.08,247.76,2.92,279.65
-130,0.357,1.17,0.26,2.23,9.08,247.79,2.96,279.5
-120,0.357,1.32,0.26,2.23,9.08,247.83,3.0,279.34
-110,0.357,1.47,0.26,2.22,9.08,247.86,3.04,279.19
-100,0.357,1.61,0.26,2.22,9.08,247.89,3.08,279.03
-90,0.357,1.73,0.26,2.21,9.08,247.93,3.11,278.88
-80,0.357,1.85,0.26,2.21,9.08,247.96,3.15,278.72
-70,0.357,1.95,0.26,2.2,9.08,247.99,3.19,278.57
-60,0.357,2.05,0.26,2.2,9.08,248.03,3.23,278.41
-50,0.357,2.13,0.26,2.2,9.08,248.06,3.27,278.26
-40,0.357,2.2,0.25,2.19,9.08,248.09,3.3,278.1
-30,0.357,2.25,0.25,2.19,9.08,248.13,3.34,277.95
-20,0.357,2.29,0.25,2.18,9.08,248.16,3.38,277.79
-10,0.357,2.32,0.25,2.18,9.08,248.19,3.42,277.64
0,0.357,2.33,0.25,2.17,9.08,248.23,3.46,277.48
10,0.357,2.33,0.25,2.17,9.08,248.26,3.5,277.33
20,0.357,2.31,0.25,2.17,9.08,248.29,3.53,277.17
30,0.357,2.28,0.25,2.16,9.08,248.32,3.57,277.02
40,0.357,2.24,0.25,2.16,9.08,248.36,3.61,276.86
50,0.357,2.18,0.25,2.15,9.08,248.39,3.65,276.71
60,0.357,2.1,0.25,2.15,9.08,248.42,3.69,276.55
70,0.357,2.01,0.25,2.14,9.08,248.46,3.72,276.4
80,0.357,1.9,0.25,2.14,9.08,248.49,3.76,276.24
90,0.357,1.78,0.25,2.14,9.08,248.52,3.8,276.08
100,0.357,1.65,0.25,2.13,9.08,248.56,3.84,275.93
110,0.357,1.5,0.25,2.13,9.08,248.59,3.88,275.77
120,0.357,1.34,0.24,2.12,9.08,248.62,3.92,275.62
130,0.357,1.17,0.24,2.12,9.08,248.66,3.95,275.46
140,0.357,0.99,0.24,2.11,9.08,248.69,3.99,275.31
150,0.357,0.8,0.24,2.11,9.08,248.72,4.03,275.15
160,0.357,0.6,0.24,2.11,9.08,248.76,4.07,275.0
170,0.357,0.4,0.24,2.1,9.08,248.79,4.11,274.84
180,0.357,0.19,0.24,2.1,9.08,248.82,4.14,274.69
