t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.8,-0.13,0.33,2.36,9.23,269.01,11.72,250.12
-170,0.8,0.06,0.33,2.35,9.16,269.25,11.64,249.78
-160,0.8,0.26,0.33,2.35,9.14,269.68,11.55,250.33
-150,0.8,0.45,0.33,2.35,9.13,270.07,11.51,251.21
-140,0.8,0.63,0.32,2.34,9.12,270.51,11.5,252.85
-130,0.8,0.81,0.32,2.33,9.1,270.46,11.44,254.43
-120,0.8,0.98,0.32,2.33,9.16,270.52,11.41,255.76
-110,0.8,1.14,0.32,2.33,9.2,270.69,11.41,256.92
-100,0.8,1.3,0.32,2.32,9.24,270.49,11.38,257.42
-90,0.8,1.44,0.33,2.32,9.23,270.12,11.37,258.57
-80,0.8,1.56,0.33,2.31,9.25,270.0,11.34,258.85
-70,0.8,1.68,0.33,2.3,9.32,269.83,11.33,259.05
-60,0.8,1.78,0.33,2.3,9.33,269.91,11.32,259.5
-50,0.8,1.87,0.32,2.3,9.44,270.05,11.29,259.49
-40,0.8,1.94,0.32,2.29,9.52,270.28,11.23,259.71
-30,0.8,2.0,0.32,2.28,9.64,270.38,11.2,259.86
-20,0.8,2.03,0.33,2.29,9.73,270.17,11.16,259.65
-10,0.8,2.07,0.33,2.28,9.81,270.35,11.09,259.57
0,0.8,2.08,0.33,2.29,9.87,270.84,11.02,259.41
10,0.8,2.08,0.32,2.28,9.91,270.94,10.95,259.68
20,0.8,2.07,0.32,2.27,9.97,271.07,10.88,259.55
30,0.8,2.04,0.32,2.27,10.0,271.3,10.79,259.26
40,0.8,2.0,0.33,2.27,10.05,271.72,10.75,258.95
50,0.8,1.96,0.33,2.27,10.03,271.85,10.71,258.64
60,0.8,1.89,0.32,2.27,9.99,271.73,10.68,258.83
70,0.8,1.81,0.32,2.26,9.94,271.64,10.64,259.11
80,0.8,1.73,0.32,2.26,9.91,271.76,10.63,259.98
90,0.8,1.63,0.32,2.26,9.92,272.09,10.62,260.15
100,0.8,1.52,0.32,2.26,9.91,272.51,10.59,260.28
110,0.8,1.41,0.32,2.25,9.93,273.18,10.59,259.39
120,0.8,1.29,0.32,2.25,9.97,273.53,10.61,257.83
130,0.8,1.16,0.31,2.25,9.98,273.77,10.64,255.55
140,0.8,1.02,0.32,2.25,9.99,273.81,10.62,253.11
150,0.8,0.88,0.31,2.24,9.99,273.35,10.56,250.8
160,0.8,0.73,0.31,2.24,10.01,273.01,10.48,248.36
170,0.8,0.58,0.31,2.22,10.01,272.41,10.41,246.03
180,0.8,0.43,0.31,2.22,10.0,271.96,10.3,243.61
