t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.6,-0.06,0.24,3.0,9.32,256.92,6.73,102.9
-170,1.6,0.15,0.24,3.0,9.27,257.15,6.69,105.27
-160,1.6,0.36,0.24,2.99,9.24,257.7,6.66,108.29
-150,1.6,0.57,0.24,2.98,9.25,257.99,6.62,111.28
-140,1.6,0.76,0.23,2.98,9.25,257.87,6.58,113.41
-130,1.6,0.94,0.23,2.98,9.21,257.36,6.55,115.73
-120,1.6,1.12,0.23,2.98,9.16,257.12,6.55,118.1
-110,1.6,1.28,0.23,2.97,9.1,256.84,6.58,120.16
-100,1.6,1.43,0.22,2.97,9.02,256.25,6.58,122.41
-90,1.6,1.56,0.22,2.97,8.96,255.34,6.56,124.58
-80,1.6,1.68,0.22,2.97,8.9,254.97,6.54,126.08
-70,1.6,1.78,0.22,2.97,8.86,254.84,6.54,127.17
-60,1.6,1.88,0.22,2.97,8.84,254.36,6.58,127.38
-50,1.6,1.95,0.22,2.98,8.78,253.66,6.62,127.97
-40,1.6,2.01,0.21,2.98,8.72,252.88,6.64,128.06
-30,1.6,2.06,0.21,2.98,8.62,252.68,6.66,127.75
-20,1.6,2.09,0.22,2.99,8.53,252.15,6.66,129.15
-10,1.6,2.1,0.22,2.99,8.43,251.43,6.67,131.11
0,1.6,2.12,0.21,3.01,8.33,251.1,6.63,133.38
10,1.6,2.12,0.21,3.02,8.25,250.94,6.57,134.85
20,1.6,2.1,0.21,3.02,8.19,251.13,6.51,136.48
30,1.6,2.07,0.21,3.02,8.14,251.02,6.51,137.24
40,1.6,2.02,0.21,3.03,8.09,251.13,6.52,137.55
50,1.6,1.97,0.2,3.03,8.02,251.24,6.49,137.78
60,1.6,1.91,0.2,3.04,7.95,251.3,6.42,137.89
70,1.6,1.83,0.2,3.05,7.92,251.11,6.4,137.78
80,1.6,1.75,0.2,3.06,7.85,250.45,6.4,137.78
90,1.6,1.65,0.2,3.06,7.8,249.66,6.41,138.15
100,1.6,1.55,0.2,3.07,7.78,249.05,6.39,138.21
110,1.6,1.44,0.2,3.07,7.77,248.34,6.36,137.99
120,1.6,1.31,0.19,3.08,7.78,247.72,6.39,137.99
130,1.6,1.18,0.19,3.09,7.76,247.37,6.43,137.48
140,1.6,1.04,0.19,3.09,7.76,247.43,6.49,136.81
150,1.6,0.88,0.19,3.1,7.72,247.63,6.55,136.2
160,1.6,0.72,0.19,3.1,7.7,247.72,6.61,135.76
170,1.6,0.56,0.19,3.11,7.63,248.06,6.64,134.84
180,1.6,0.39,0.19,3.12,7.58,248.43,6.66,133.56
