t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.36,0.14,-0.06,1.12,13.67,263.09,6.02,78.16
-170,0.36,0.3,-0.06,1.12,13.66,263.07,6.02,78.32
-160,0.36,0.45,-0.06,1.12,13.64,263.05,6.02,78.49
-150,0.36,0.6,-0.06,1.13,13.62,263.03,6.01,78.65
-140,0.36,0.74,-0.06,1.13,13.61,263.01,6.01,78.82
-130,0.36,0.87,-0.06,1.14,13.59,262.99,6.01,78.99
-120,0.36,0.99,-0.06,1.14,13.57,262.97,6.01,79.15
-110,0.36,1.1,-0.06,1.15,13.56,262.95,6.0,79.32
-100,0.36,1.21,-0.06,1.15,13.54,262.93,6.0,79.48
-90,0.36,1.3,-0.06,1.16,13.52,262.92,6.0,79.65
-80,0.36,1.38,-0.06,1.16,13.51,262.9,5.99,79.81
-70,0.36,1.46,-0.06,1.17,13.49,262.88,5.99,79.98
-60,0.36,1.52,-0.06,1.17,13.47,262.86,5.99,80.14
-50,0.36,1.58,-0.05,1.18,13.46,262.84,5.98,80.31
-40,0.36,1.62,-0.05,1.18,13.44,262.82,5.98,80.47
-30,0.36,1.66,-0.05,1.19,13.42,262.8,5.98,80.64
-20,0.36,1.68,-0.05,1.19,13.41,262.78,5.97,80.8
-10,0.36,1.7,-0.05,1.2,13.39,262.76,5.97,80.97
0,0.36,1.71,-0.05,1.2,13.37,262.75,5.97,81.13
10,0.36,1.71,-0.05,1.21,13.36,262.73,5.97,81.3
20,0.36,1.7,-0.05,1.21,13.34,262.71,5.96,81.47
30,0.36,1.68,-0.05,1.22,13.32,262.69,5.96,81.63
40,0.36,1.65,-0.05,1.22,13.3,262.67,5.96,81.8
50,0.36,1.62,-0.05,1.23,13.29,262.65,5.95,81.96
60,0.36,1.57,-0.05,1.23,13.27,262.63,5.95,82.13
70,0.36,1.52,-0.05,1.24,13.25,262.61,5.95,82.29
80,0.36,1.45,-0.05,1.24,13.24,262.59,5.94,82.46
90,0.36,1.38,-0.05,1.25,13.22,262.58,5.94,82.62
100,0.36,1.3,-0.05,1.25,13.2,262.56,5.94,82.79
110,0.36,1.21,-0.05,1.25,13.19,262.54,5.93,82.95
120,0.36,1.12,-0.05,1.26,13.17,262.52,5.93,83.12
130,0.36,1.01,-0.05,1.26,13.15,262.5,5.93,83.28
140,0.36,0.9,-0.05,1.27,13.15,262.46,5.91,83.09
150,0.36,0.78,-0.05,1.27,13.15,262.42,5.89,82.9
160,0.36,0.65,-0.05,1.27,13.15,262.37,5.87,82.7
170,0.36,0.51,-0.05,1.27,13.15,262.33,5.85,82.51
180,0.36,0.37,-0.04,1.27,13.14,262.29,5.82,82.31
