t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.48,-0.04,0.04,0.71,9.71,278.47,2.08,127.53
-170,0.48,0.09,0.04,0.71,9.71,278.45,2.07,128.53
-160,0.48,0.21,0.04,0.71,9.72,278.42,2.13,129.3
-150,0.48,0.34,0.04,0.71,9.73,278.4,2.19,130.07
-140,0.48,0.46,0.04,0.71,9.73,278.38,2.25,130.85
-130,0.48,0.58,0.04,0.71,9.74,278.36,2.31,131.62
-120,0.48,0.69,0.04,0.71,9.74,278.33,2.37,132.39
-110,0.48,0.8,0.04,0.71,9.75,278.31,2.43,133.16
-100,0.48,0.9,0.04,0.71,9.75,278.29,2.49,128.53
-90,0.48,0.99,0.04,0.71,9.76,278.26,2.56,123.9
-80,0.48,1.07,0.04,0.71,9.76,278.24,2.63,119.26
-70,0.48,1.15,0.05,0.71,9.77,278.22,2.7,114.63
-60,0.48,1.21,0.05,0.71,9.78,278.2,2.76,110.0
-50,0.48,1.27,0.05,0.71,9.78,278.17,2.83,105.36
-40,0.48,1.32,0.05,0.71,9.77,278.17,2.85,111.12
-30,0.48,1.35,0.05,0.71,9.76,278.17,2.88,116.88
-20,0.48,1.38,0.05,0.71,9.75,278.17,2.9,122.64
-10,0.48,1.39,0.05,0.71,9.74,278.17,2.92,128.4
0,0.48,1.39,0.05,0.71,9.73,278.17,2.94,134.16
10,0.48,1.39,0.05,0.71,9.72,278.17,2.97,139.92
20,0.48,1.37,0.05,0.71,9.71,278.17,3.0,145.31
30,0.48,1.35,0.05,0.71,9.7,278.17,3.04,150.7
40,0.48,1.31,0.04,0.71,9.7,278.17,3.08,156.09
50,0.48,1.27,0.04,0.71,9.69,278.17,3.11,161.47
60,0.48,1.22,0.04,0.71,9.68,278.17,3.15,166.86
70,0.48,1.16,0.04,0.71,9.67,278.17,3.19,172.25
80,0.48,1.1,0.04,0.71,9.66,278.17,2.91,170.93
90,0.48,1.02,0.04,0.71,9.65,278.17,2.63,169.61
100,0.48,0.95,0.04,0.71,9.64,278.17,2.35,168.28
110,0.48,0.86,0.04,0.71,9.63,278.17,2.07,166.96
120,0.48,0.77,0.04,0.71,9.62,278.17,1.8,165.64
130,0.48,0.68,0.04,0.71,9.61,278.17,1.52,164.31
140,0.48,0.58,0.04,0.71,9.6,278.17,1.36,159.77
150,0.48,0.49,0.04,0.72,9.59,278.17,1.21,155.22
160,0.48,0.38,0.04,0.72,9.58,278.17,1.06,150.67
170,0.48,0.28,0.04,0.72,9.57,278.17,0.91,146.12
180,0.48,0.17,0.04,0.72,9.56,278.17,0.75,141.57
