t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.521,0.45,0.62,2.34,10.6,251.33,10.54,336.65
-170,0.521,0.64,0.62,2.35,10.58,251.0,12.67,331.08
-160,0.521,0.81,0.63,2.37,10.56,250.67,14.8,325.51
-150,0.521,0.99,0.64,2.39,10.54,250.33,16.92,319.93
-140,0.521,1.15,0.65,2.4,10.53,250.0,19.05,314.36
-130,0.521,1.31,0.67,2.42,10.47,249.0,19.66,313.52
-120,0.521,1.46,0.69,2.43,10.42,248.0,20.26,312.67
-110,0.521,1.59,0.71,2.45,10.37,247.0,20.87,311.83
-100,0.521,1.72,0.71,2.46,10.31,246.0,21.48,310.98
-90,0.521,1.84,0.71,2.48,10.26,245.0,22.08,310.14
-80,0.521,1.95,0.69,2.49,10.2,244.0,22.69,309.29
-70,0.521,2.05,0.67,2.5,9.99,234.67,22.03,308.28
-60,0.521,2.13,0.65,2.51,9.78,225.33,21.38,307.26
-50,0.521,2.2,0.64,2.53,9.57,216.0,20.72,306.24
-40,0.521,2.26,0.63,2.54,9.35,206.67,20.06,305.22
-30,0.521,2.3,0.62,2.55,9.14,197.33,19.4,304.2
-20,0.521,2.33,0.61,2.56,8.93,188.0,18.75,303.18
-10,0.521,2.35,0.6,2.57,9.01,189.67,18.42,301.67
0,0.521,2.35,0.6,2.58,9.1,191.33,18.09,300.16
10,0.521,2.34,0.59,2.6,9.18,193.0,17.76,298.65
20,0.521,2.31,0.57,2.61,9.27,194.67,17.42,297.14
30,0.521,2.26,0.55,2.62,9.35,196.33,17.09,295.63
40,0.521,2.2,0.52,2.64,9.43,198.0,16.76,294.12
50,0.521,2.13,0.47,2.66,9.48,196.83,16.61,293.82
60,0.521,2.04,0.43,2.68,9.53,195.67,16.47,293.52
70,0.521,1.94,0.38,2.7,9.57,194.5,16.32,293.22
80,0.521,1.82,0.36,2.72,9.62,193.33,16.17,292.93
90,0.521,1.69,0.34,2.75,9.66,192.17,16.02,292.63
100,0.521,1.54,0.33,2.77,9.71,191.0,15.87,292.33
110,0.521,1.38,0.31,2.8,9.74,192.17,15.4,292.51
120,0.521,1.22,0.29,2.82,9.77,193.33,14.92,292.69
130,0.521,1.04,0.29,2.85,9.8,194.5,14.45,292.87
140,0.521,0.85,0.3,2.88,9.84,195.67,13.98,293.06
150,0.521,0.65,0.3,2.91,9.87,196.83,13.51,293.24
160,0.521,0.45,0.3,2.94,9.9,198.0,13.03,293.42
170,0.521,0.24,0.31,2.95,9.92,198.0,12.85,293.14
180,0.521,0.03,0.31,2.97,9.93,198.0,12.68,292.86
