t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.3,-0.0,-0.21,1.54,10.73,269.31,5.25,20.67
-170,0.3,0.13,-0.21,1.53,10.74,269.3,5.25,20.58
-160,0.3,0.25,-0.21,1.52,10.74,269.29,5.25,20.5
-150,0.3,0.37,-0.21,1.52,10.75,269.29,5.25,20.42
-140,0.3,0.49,-0.21,1.51,10.76,269.28,5.25,20.33
-130,0.3,0.6,-0.21,1.5,10.76,269.27,5.25,20.25
-120,0.3,0.7,-0.21,1.49,10.77,269.26,5.25,20.17
-110,0.3,0.79,-0.21,1.48,10.77,269.26,5.25,20.08
-100,0.3,0.88,-0.21,1.47,10.78,269.25,5.25,20.0
-90,0.3,0.96,-0.21,1.46,10.79,269.24,5.25,19.92
-80,0.3,1.03,-0.21,1.46,10.78,269.24,5.28,19.93
-70,0.3,1.09,-0.21,1.45,10.77,269.24,5.32,19.94
-60,0.3,1.14,-0.21,1.44,10.77,269.24,5.36,19.96
-50,0.3,1.18,-0.21,1.44,10.76,269.24,5.4,19.97
-40,0.3,1.21,-0.21,1.43,10.76,269.24,5.44,19.99
-30,0.3,1.24,-0.21,1.42,10.75,269.24,5.48,20.0
-20,0.3,1.25,-0.21,1.42,10.74,269.24,5.51,20.02
-10,0.3,1.26,-0.22,1.41,10.74,269.24,5.55,20.03
0,0.3,1.26,-0.22,1.4,10.73,269.24,5.59,20.05
10,0.3,1.26,-0.22,1.4,10.73,269.24,5.63,20.06
20,0.3,1.24,-0.22,1.39,10.72,269.24,5.67,20.08
30,0.3,1.23,-0.22,1.38,10.71,269.24,5.71,20.09
40,0.3,1.2,-0.22,1.38,10.71,269.24,5.74,20.11
50,0.3,1.17,-0.22,1.37,10.7,269.24,5.78,20.12
60,0.3,1.13,-0.22,1.36,10.7,269.24,5.82,20.14
70,0.3,1.09,-0.22,1.36,10.69,269.24,5.86,20.15
80,0.3,1.05,-0.22,1.35,10.69,269.24,5.9,20.17
90,0.3,0.99,-0.22,1.34,10.68,269.24,5.94,20.18
100,0.3,0.94,-0.22,1.34,10.67,269.24,5.97,20.2
110,0.3,0.88,-0.22,1.33,10.67,269.24,6.01,20.21
120,0.3,0.81,-0.22,1.33,10.66,269.24,6.05,20.23
130,0.3,0.74,-0.22,1.32,10.66,269.24,6.09,20.24
140,0.3,0.66,-0.22,1.31,10.65,269.24,6.13,20.25
150,0.3,0.58,-0.22,1.31,10.64,269.24,6.16,20.27
160,0.3,0.5,-0.22,1.3,10.64,269.24,6.2,20.28
170,0.3,0.41,-0.22,1.29,10.63,269.24,6.24,20.3
180,0.3,0.32,-0.22,1.29,10.63,269.24,6.28,20.31
