t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.37,0.39,0.5,5.19,17.91,243.55,14.1,217.76
-170,1.37,0.58,0.5,5.2,17.87,244.61,14.07,219.51
-160,1.37,0.77,0.51,5.21,17.82,245.8,14.0,221.46
-150,1.37,0.95,0.5,5.22,17.79,246.45,13.93,222.88
-140,1.37,1.13,0.51,5.24,17.8,247.06,13.9,223.93
-130,1.37,1.3,0.51,5.25,17.77,247.37,13.86,224.77
-120,1.37,1.45,0.5,5.27,17.7,247.45,13.83,225.36
-110,1.37,1.6,0.5,5.28,17.63,246.67,13.77,226.47
-100,1.37,1.74,0.5,5.29,17.59,246.26,13.69,227.98
-90,1.37,1.86,0.5,5.31,17.52,245.95,13.62,230.14
-80,1.37,1.98,0.49,5.33,17.45,245.99,13.57,232.22
-70,1.37,2.08,0.5,5.34,17.42,246.24,13.52,234.69
-60,1.37,2.18,0.5,5.36,17.45,247.07,13.44,236.9
-50,1.37,2.25,0.5,5.38,17.46,248.03,13.39,238.04
-40,1.37,2.32,0.5,5.4,17.54,248.76,13.37,238.88
-30,1.37,2.37,0.5,5.42,17.61,249.88,13.39,239.36
-20,1.37,2.4,0.5,5.43,17.64,250.81,13.4,239.61
-10,1.37,2.43,0.5,5.45,17.72,251.96,13.39,239.85
0,1.37,2.44,0.5,5.47,17.82,252.71,13.39,240.82
10,1.37,2.42,0.5,5.49,17.9,253.38,13.36,241.73
20,1.37,2.4,0.5,5.5,17.95,253.67,13.34,242.81
30,1.37,2.36,0.5,5.53,18.01,253.63,13.29,244.18
40,1.37,2.3,0.5,5.54,18.07,253.97,13.24,246.07
50,1.37,2.23,0.5,5.56,18.11,253.52,13.19,248.2
60,1.37,2.14,0.5,5.57,18.16,253.42,13.17,249.83
70,1.37,2.04,0.5,5.59,18.17,252.9,13.14,250.69
80,1.37,1.92,0.5,5.6,18.16,252.18,13.1,251.33
90,1.37,1.79,0.5,5.62,18.2,252.06,13.04,251.99
100,1.37,1.64,0.5,5.63,18.23,252.12,12.97,253.37
110,1.37,1.47,0.5,5.65,18.29,252.1,12.92,254.42
120,1.37,1.29,0.51,5.66,18.34,252.18,12.92,255.52
130,1.37,1.12,0.5,5.66,18.41,252.7,12.94,258.23
140,1.37,0.92,0.5,5.68,18.44,253.54,12.99,261.21
150,1.37,0.72,0.51,5.69,18.43,253.44,13.08,263.19
160,1.37,0.5,0.5,5.7,18.42,252.92,13.2,265.04
170,1.37,0.27,0.5,5.71,18.4,252.64,13.29,267.13
180,1.37,0.06,0.49,5.72,18.35,252.04,13.3,269.37
