t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.87,0.12,0.25,3.11,11.67,268.61,6.93,355.17
-170,1.87,0.32,0.24,3.11,11.72,268.38,6.78,355.62
-160,1.87,0.51,0.24,3.12,11.8,268.38,6.68,356.35
-150,1.87,0.7,0.24,3.13,11.84,268.74,6.55,357.08
-140,1.87,0.89,0.25,3.12,11.9,268.92,6.47,357.35
-130,1.87,1.05,0.24,3.13,12.0,269.42,6.42,357.38
-120,1.87,1.22,0.24,3.14,12.15,270.23,6.37,357.09
-110,1.87,1.37,0.25,3.13,12.3,271.47,6.33,357.36
-100,1.87,1.51,0.25,3.14,12.38,271.98,6.3,357.23
-90,1.87,1.64,0.25,3.15,12.48,271.97,6.24,356.55
-80,1.87,1.76,0.25,3.15,12.55,272.05,6.21,356.51
-70,1.87,1.86,0.25,3.16,12.62,272.34,6.17,355.76
-60,1.87,1.94,0.25,3.16,12.66,272.89,6.18,355.31
-50,1.87,2.02,0.24,3.16,12.67,273.22,6.19,354.44
-40,1.87,2.09,0.24,3.17,12.7,273.49,6.22,354.54
-30,1.87,2.14,0.24,3.18,12.77,274.01,6.31,355.24
-20,1.87,2.17,0.24,3.19,12.84,273.98,6.38,355.78
-10,1.87,2.19,0.24,3.2,12.9,273.58,6.44,356.48
0,1.87,2.2,0.24,3.2,12.96,272.72,6.42,356.96
10,1.87,2.19,0.24,3.2,13.05,272.21,6.4,358.29
20,1.87,2.18,0.24,3.2,13.12,271.92,6.33,359.95
30,1.87,2.15,0.24,3.21,13.2,271.79,6.3,2.17
40,1.87,2.1,0.24,3.22,13.27,271.48,6.29,4.56
50,1.87,2.04,0.24,3.22,13.38,271.31,6.3,7.15
60,1.87,1.97,0.24,3.22,13.5,271.38,6.32,9.6
70,1.87,1.89,0.24,3.23,13.61,271.34,6.37,12.14
80,1.87,1.8,0.24,3.23,13.69,271.15,6.44,14.1
90,1.87,1.69,0.24,3.24,13.78,270.83,6.6,15.15
100,1.87,1.57,0.23,3.25,13.9,270.68,6.7,16.62
110,1.87,1.43,0.23,3.25,13.99,270.28,6.76,17.53
120,1.87,1.3,0.24,3.25,14.06,269.7,6.85,18.8
130,1.87,1.14,0.24,3.26,14.17,269.35,6.9,20.06
140,1.87,0.99,0.23,3.26,14.29,269.31,6.9,21.46
150,1.87,0.81,0.23,3.26,14.39,268.95,6.9,23.46
160,1.87,0.64,0.24,3.26,14.48,268.61,6.89,24.41
170,1.87,0.45,0.24,3.26,14.54,268.33,6.93,25.48
180,1.87,0.27,0.24,3.27,14.62,268.32,6.99,26.08
