t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.4,0.21,-0.05,1.11,7.85,268.83,7.47,259.73
-170,0.4,0.39,-0.05,1.12,7.86,268.85,7.5,259.7
-160,0.4,0.55,-0.05,1.12,7.87,268.86,7.53,259.67
-150,0.4,0.71,-0.05,1.12,7.88,268.87,7.56,259.63
-140,0.4,0.86,-0.05,1.12,7.89,268.89,7.59,259.6
-130,0.4,1.0,-0.05,1.13,7.9,268.9,7.62,259.57
-120,0.4,1.13,-0.05,1.13,7.91,268.91,7.65,259.53
-110,0.4,1.25,-0.05,1.13,7.92,268.92,7.69,259.5
-100,0.4,1.36,-0.05,1.14,7.93,268.94,7.72,259.46
-90,0.4,1.46,-0.05,1.14,7.93,268.95,7.75,259.43
-80,0.4,1.55,-0.04,1.14,7.94,268.96,7.78,259.4
-70,0.4,1.63,-0.04,1.14,7.95,268.98,7.81,259.36
-60,0.4,1.7,-0.04,1.15,7.96,268.99,7.84,259.33
-50,0.4,1.75,-0.04,1.15,7.97,269.0,7.87,259.3
-40,0.4,1.79,-0.04,1.15,7.98,269.01,7.9,259.26
-30,0.4,1.83,-0.04,1.16,7.99,269.03,7.94,259.23
-20,0.4,1.85,-0.04,1.16,8.0,269.04,7.97,259.19
-10,0.4,1.87,-0.04,1.16,8.01,269.05,8.0,259.16
0,0.4,1.87,-0.04,1.17,8.02,269.06,8.03,259.13
10,0.4,1.86,-0.04,1.17,8.03,269.08,8.06,259.09
20,0.4,1.85,-0.04,1.17,8.04,269.09,8.09,259.06
30,0.4,1.82,-0.04,1.18,8.06,269.15,8.07,258.63
40,0.4,1.79,-0.04,1.18,8.07,269.2,8.06,258.21
50,0.4,1.74,-0.04,1.19,8.09,269.26,8.04,257.78
60,0.4,1.69,-0.04,1.19,8.11,269.31,8.02,257.35
70,0.4,1.63,-0.04,1.2,8.13,269.37,8.01,256.93
80,0.4,1.56,-0.04,1.2,8.15,269.42,7.99,256.5
90,0.4,1.47,-0.04,1.21,8.17,269.48,7.97,256.07
100,0.4,1.38,-0.04,1.21,8.18,269.53,7.95,255.65
110,0.4,1.28,-0.04,1.22,8.2,269.59,7.94,255.22
120,0.4,1.17,-0.04,1.22,8.22,269.64,7.92,254.79
130,0.4,1.06,-0.04,1.23,8.24,269.7,7.9,254.37
140,0.4,0.93,-0.04,1.23,8.26,269.75,7.88,253.94
150,0.4,0.8,-0.04,1.24,8.27,269.81,7.87,253.51
160,0.4,0.65,-0.04,1.24,8.29,269.86,7.85,253.09
170,0.4,0.51,-0.04,1.25,8.31,269.92,7.83,252.66
180,0.4,0.35,-0.04,1.25,8.33,269.97,7.82,252.23
