t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.31,0.07,-0.17,2.3,11.15,274.7,7.37,311.63
-170,0.31,0.24,-0.17,2.3,11.15,274.64,7.32,311.33
-160,0.31,0.4,-0.17,2.29,11.15,274.57,7.27,311.04
-150,0.31,0.56,-0.17,2.29,11.16,274.51,7.22,310.74
-140,0.31,0.71,-0.17,2.29,11.16,274.45,7.17,310.45
-130,0.31,0.85,-0.17,2.28,11.16,274.38,7.12,310.15
-120,0.31,0.98,-0.17,2.28,11.16,274.32,7.07,309.85
-110,0.31,1.11,-0.17,2.28,11.17,274.25,7.02,309.56
-100,0.31,1.22,-0.17,2.27,11.17,274.19,6.97,309.26
-90,0.31,1.32,-0.17,2.27,11.17,274.13,6.92,308.96
-80,0.31,1.41,-0.17,2.27,11.17,274.06,6.87,308.67
-70,0.31,1.49,-0.17,2.26,11.18,274.0,6.82,308.37
-60,0.31,1.56,-0.17,2.26,11.18,273.94,6.77,308.08
-50,0.31,1.62,-0.17,2.26,11.18,273.87,6.72,307.78
-40,0.31,1.67,-0.17,2.25,11.19,273.81,6.67,307.48
-30,0.31,1.7,-0.17,2.25,11.19,273.75,6.62,307.19
-20,0.31,1.73,-0.17,2.25,11.19,273.68,6.57,306.89
-10,0.31,1.74,-0.17,2.24,11.19,273.62,6.52,306.59
0,0.31,1.75,-0.17,2.24,11.2,273.56,6.47,306.3
10,0.31,1.74,-0.17,2.24,11.2,273.49,6.42,306.0
20,0.31,1.73,-0.17,2.23,11.2,273.43,6.37,305.71
30,0.31,1.71,-0.17,2.23,11.21,273.37,6.32,305.41
40,0.31,1.68,-0.17,2.23,11.21,273.3,6.27,305.11
50,0.31,1.64,-0.17,2.23,11.21,273.24,6.22,304.82
60,0.31,1.59,-0.17,2.22,11.21,273.18,6.17,304.52
70,0.31,1.54,-0.17,2.22,11.22,273.15,6.18,304.27
80,0.31,1.47,-0.17,2.21,11.23,273.13,6.18,304.02
90,0.31,1.4,-0.17,2.21,11.23,273.11,6.18,303.77
100,0.31,1.32,-0.17,2.2,11.24,273.09,6.19,303.52
110,0.31,1.24,-0.17,2.2,11.25,273.07,6.19,303.27
120,0.31,1.14,-0.17,2.19,11.25,273.04,6.19,303.02
130,0.31,1.04,-0.17,2.19,11.26,273.02,6.2,302.77
140,0.31,0.93,-0.18,2.18,11.27,273.0,6.2,302.52
150,0.31,0.82,-0.18,2.18,11.27,272.98,6.2,302.27
160,0.31,0.69,-0.18,2.18,11.28,272.95,6.21,302.02
170,0.31,0.56,-0.18,2.17,11.28,272.93,6.21,301.77
180,0.31,0.43,-0.18,2.17,11.29,272.91,6.21,301.52
