t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.6,-0.03,0.55,6.58,20.43,245.9,19.99,252.4
-170,0.6,0.18,0.55,6.6,20.62,246.14,20.14,252.58
-160,0.6,0.38,0.54,6.63,20.79,246.6,20.26,253.68
-150,0.6,0.58,0.54,6.65,20.94,247.33,20.37,254.66
-140,0.6,0.77,0.54,6.67,21.07,248.13,20.42,254.83
-130,0.6,0.96,0.55,6.68,21.19,248.4,20.44,254.51
-120,0.6,1.14,0.54,6.72,21.29,248.94,20.43,254.47
-110,0.6,1.29,0.54,6.74,21.35,249.21,20.38,254.92
-100,0.6,1.44,0.54,6.76,21.4,249.49,20.35,254.51
-90,0.6,1.57,0.53,6.77,21.44,249.17,20.33,254.97
-80,0.6,1.69,0.53,6.8,21.47,249.08,20.34,255.69
-70,0.6,1.8,0.52,6.81,21.58,249.16,20.28,256.41
-60,0.6,1.9,0.52,6.83,21.65,249.13,20.18,256.42
-50,0.6,1.97,0.51,6.84,21.74,249.15,20.07,256.69
-40,0.6,2.03,0.51,6.86,21.86,248.99,19.95,257.68
-30,0.6,2.08,0.52,6.87,22.02,248.81,19.76,257.82
-20,0.6,2.11,0.52,6.88,22.19,248.52,19.56,257.84
-10,0.6,2.13,0.51,6.89,22.31,248.37,19.36,257.52
0,0.6,2.14,0.51,6.91,22.44,248.18,19.16,256.68
10,0.6,2.13,0.5,6.92,22.56,248.07,18.89,255.55
20,0.6,2.11,0.5,6.93,22.68,248.24,18.64,254.59
30,0.6,2.08,0.5,6.95,22.77,248.37,18.36,253.27
40,0.6,2.03,0.49,6.96,22.82,248.49,18.09,252.45
50,0.6,1.97,0.49,6.98,22.88,248.4,17.83,252.67
60,0.6,1.91,0.48,6.98,22.92,248.01,17.62,252.79
70,0.6,1.83,0.47,6.99,22.93,247.86,17.41,252.21
80,0.6,1.73,0.47,7.01,22.92,247.31,17.17,251.19
90,0.6,1.63,0.47,7.02,22.9,246.82,16.96,250.51
100,0.6,1.52,0.46,7.03,22.91,246.71,16.76,249.5
110,0.6,1.4,0.46,7.04,22.88,246.81,16.55,247.26
120,0.6,1.27,0.46,7.05,22.84,246.85,16.43,245.29
130,0.6,1.13,0.46,7.06,22.8,246.79,16.36,243.67
140,0.6,0.98,0.46,7.06,22.79,246.84,16.35,242.14
150,0.6,0.83,0.46,7.07,22.76,247.38,16.29,240.81
160,0.6,0.66,0.46,7.07,22.72,247.71,16.23,239.57
170,0.6,0.5,0.46,7.08,22.69,247.69,16.23,238.97
180,0.6,0.33,0.46,7.08,22.67,247.98,16.21,238.58
