t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,3.0,9.32,256.92,6.73,102.9
-170,0.85,0.35,0.84,3.0,9.27,257.15,6.69,105.27
-160,0.85,0.58,0.84,2.99,9.24,257.7,6.66,108.29
-150,0.85,0.82,0.84,2.98,9.25,257.99,6.62,111.28
-140,0.85,1.04,0.83,2.98,9.25,257.87,6.58,113.41
-130,0.85,1.25,0.83,2.98,9.21,257.36,6.55,115.73
-120,0.85,1.45,0.84,2.98,9.16,257.12,6.55,118.1
-110,0.85,1.64,0.84,2.97,9.1,256.84,6.58,120.16
-100,0.85,1.8,0.84,2.97,9.02,256.25,6.58,122.41
-90,0.85,1.96,0.84,2.97,8.96,255.34,6.56,124.58
-80,0.85,2.1,0.84,2.97,8.9,254.97,6.54,126.08
-70,0.85,2.22,0.83,2.97,8.86,254.84,6.54,127.17
-60,0.85,2.33,0.83,2.97,8.84,254.36,6.58,127.38
-50,0.85,2.42,0.83,2.98,8.78,253.66,6.62,127.97
-40,0.85,2.49,0.83,2.98,8.72,252.88,6.64,128.06
-30,0.85,2.55,0.83,2.98,8.62,252.68,6.66,127.75
-20,0.85,2.59,0.83,2.99,8.53,252.15,6.66,129.15
-10,0.85,2.61,0.83,2.99,8.43,251.43,6.67,131.11
0,0.85,2.62,0.83,3.01,8.33,251.1,6.63,133.38
10,0.85,2.61,0.83,3.02,8.25,250.94,6.57,134.85
20,0.85,2.59,0.83,3.02,8.19,251.13,6.51,136.48
30,0.85,2.55,0.83,3.02,8.14,251.02,6.51,137.24
40,0.85,2.5,0.83,3.03,8.09,251.13,6.52,137.55
50,0.85,2.42,0.82,3.03,8.02,251.24,6.49,137.78
60,0.85,2.36,0.82,3.04,7.95,251.3,6.42,137.89
70,0.85,2.27,0.82,3.05,7.92,251.11,6.4,137.78
80,0.85,2.16,0.82,3.06,7.85,250.45,6.4,137.78
90,0.85,2.03,0.81,3.06,7.8,249.66,6.41,138.15
100,0.85,1.91,0.81,3.07,7.78,249.05,6.39,138.21
110,0.85,1.76,0.8,3.07,7.77,248.34,6.36,137.99
120,0.85,1.61,0.8,3.08,7.78,247.72,6.39,137.99
130,0.85,1.44,0.8,3.09,7.76,247.37,6.43,137.48
140,0.85,1.26,0.8,3.09,7.76,247.43,6.49,136.81
150,0.85,1.08,0.8,3.1,7.72,247.63,6.55,136.2
160,0.85,0.89,0.79,3.1,7.7,247.72,6.61,135.76
170,0.85,0.69,0.79,3.11,7.63,248.06,6.64,134.84
180,0.85,0.47,0.79,3.12,7.58,248.43,6.66,133.56
