t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.59,0.09,0.51,5.32,17.06,226.05,25.45,258.28
-170,1.59,0.24,0.51,5.33,17.08,226.45,25.65,256.79
-160,1.59,0.4,0.51,5.34,17.1,226.61,25.85,256.28
-150,1.59,0.56,0.51,5.36,17.12,226.81,26.11,256.62
-140,1.59,0.71,0.51,5.36,17.09,226.95,26.31,257.28
-130,1.59,0.86,0.51,5.38,17.08,227.83,26.5,258.87
-120,1.59,0.99,0.51,5.39,17.13,229.17,26.75,261.35
-110,1.59,1.12,0.51,5.39,17.22,230.24,26.97,264.2
-100,1.59,1.24,0.51,5.4,17.28,231.55,27.15,266.79
-90,1.59,1.35,0.51,5.42,17.36,233.26,27.32,269.81
-80,1.59,1.46,0.52,5.43,17.43,234.73,27.5,272.72
-70,1.59,1.55,0.52,5.44,17.54,236.01,27.67,274.6
-60,1.59,1.62,0.51,5.45,17.64,237.15,27.81,275.74
-50,1.59,1.7,0.51,5.46,17.73,238.32,27.93,276.2
-40,1.59,1.75,0.52,5.48,17.86,239.28,28.05,276.71
-30,1.59,1.8,0.52,5.49,17.96,240.07,28.15,275.26
-20,1.59,1.82,0.52,5.51,18.1,240.98,28.22,272.99
-10,1.59,1.85,0.52,5.52,18.17,241.97,28.29,271.41
0,1.59,1.86,0.52,5.54,18.25,242.53,28.3,269.94
10,1.59,1.85,0.53,5.55,18.32,243.37,28.34,268.82
20,1.59,1.83,0.53,5.58,18.38,244.3,28.32,268.14
30,1.59,1.8,0.53,5.59,18.47,245.01,28.27,267.61
40,1.59,1.76,0.53,5.61,18.56,245.8,28.16,268.03
50,1.59,1.7,0.53,5.63,18.69,246.33,28.04,268.12
60,1.59,1.64,0.53,5.65,18.85,246.88,27.9,267.76
70,1.59,1.56,0.52,5.67,18.99,247.33,27.78,267.46
80,1.59,1.46,0.52,5.69,19.09,247.56,27.7,266.49
90,1.59,1.37,0.53,5.7,19.18,247.77,27.63,265.64
100,1.59,1.25,0.53,5.72,19.28,248.1,27.62,265.89
110,1.59,1.14,0.53,5.74,19.37,248.58,27.65,266.91
120,1.59,1.0,0.54,5.75,19.44,248.97,27.75,268.27
130,1.59,0.87,0.54,5.78,19.5,249.1,27.8,270.08
140,1.59,0.73,0.54,5.79,19.56,249.46,27.86,272.25
150,1.59,0.58,0.55,5.8,19.61,250.4,27.91,274.81
160,1.59,0.43,0.55,5.81,19.68,251.18,27.99,275.92
170,1.59,0.27,0.55,5.83,19.75,251.83,28.02,276.58
180,1.59,0.1,0.54,5.84,19.83,252.4,27.99,277.81
