t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.85,0.1,0.84,5.46,10.52,204.12,13.57,259.97
-170,0.85,0.35,0.84,5.48,10.5,204.61,13.62,260.26
-160,0.85,0.58,0.84,5.49,10.48,204.97,13.64,260.34
-150,0.85,0.82,0.84,5.5,10.46,205.83,13.69,260.36
-140,0.85,1.04,0.83,5.51,10.46,206.43,13.74,260.04
-130,0.85,1.25,0.83,5.53,10.43,207.79,13.79,259.57
-120,0.85,1.45,0.84,5.54,10.43,209.04,13.85,259.19
-110,0.85,1.64,0.84,5.54,10.46,210.08,13.9,258.52
-100,0.85,1.8,0.84,5.56,10.49,211.15,13.92,257.49
-90,0.85,1.96,0.84,5.57,10.54,211.85,13.94,255.95
-80,0.85,2.1,0.84,5.58,10.56,213.19,13.95,254.06
-70,0.85,2.22,0.83,5.59,10.59,213.99,13.98,251.85
-60,0.85,2.33,0.83,5.6,10.62,214.64,14.0,249.29
-50,0.85,2.42,0.83,5.61,10.61,215.01,14.02,246.44
-40,0.85,2.49,0.83,5.62,10.58,215.5,14.1,244.16
-30,0.85,2.55,0.83,5.62,10.55,216.4,14.18,242.32
-20,0.85,2.59,0.83,5.64,10.51,217.22,14.26,240.22
-10,0.85,2.61,0.83,5.65,10.49,218.31,14.31,238.28
0,0.85,2.62,0.83,5.66,10.49,219.74,14.35,236.52
10,0.85,2.61,0.83,5.67,10.49,221.02,14.41,235.54
20,0.85,2.59,0.83,5.67,10.5,222.33,14.46,234.68
30,0.85,2.55,0.83,5.69,10.48,223.37,14.46,234.4
40,0.85,2.5,0.83,5.7,10.47,224.23,14.46,234.4
50,0.85,2.42,0.82,5.7,10.47,224.93,14.42,234.3
60,0.85,2.36,0.82,5.71,10.44,225.3,14.43,234.67
70,0.85,2.27,0.82,5.73,10.4,225.69,14.46,235.06
80,0.85,2.16,0.82,5.74,10.38,225.9,14.46,235.3
90,0.85,2.03,0.81,5.74,10.39,226.29,14.41,234.71
100,0.85,1.91,0.81,5.75,10.4,227.12,14.35,234.42
110,0.85,1.76,0.8,5.75,10.41,227.75,14.33,234.05
120,0.85,1.61,0.8,5.76,10.46,228.31,14.29,234.44
130,0.85,1.44,0.8,5.77,10.52,228.89,14.24,234.79
140,0.85,1.26,0.8,5.77,10.55,229.3,14.23,235.43
150,0.85,1.08,0.8,5.78,10.58,229.58,14.26,235.93
160,0.85,0.89,0.79,5.78,10.6,229.52,14.25,237.19
170,0.85,0.69,0.79,5.79,10.61,229.52,14.26,238.53
180,0.85,0.47,0.79,5.79,10.62,230.03,14.3,239.82
