t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.51,0.05,0.07,3.72,13.81,257.43,2.32,186.8
-170,0.51,0.19,0.07,3.75,13.81,257.25,2.22,182.71
-160,0.51,0.33,0.07,3.78,13.81,257.07,2.12,178.62
-150,0.51,0.46,0.07,3.81,13.81,256.9,2.02,174.53
-140,0.51,0.59,0.07,3.83,13.81,256.72,1.93,170.44
-130,0.51,0.72,0.07,3.85,13.8,256.72,1.92,168.1
-120,0.51,0.83,0.07,3.86,13.78,256.72,1.92,165.76
-110,0.51,0.94,0.07,3.87,13.76,256.72,1.91,163.42
-100,0.51,1.04,0.07,3.88,13.74,256.72,1.91,161.08
-90,0.51,1.13,0.07,3.9,13.72,256.72,1.9,158.74
-80,0.51,1.21,0.07,3.91,13.7,256.72,1.9,156.41
-70,0.51,1.28,0.08,3.91,13.7,256.72,1.92,154.54
-60,0.51,1.34,0.08,3.9,13.7,256.72,1.94,152.68
-50,0.51,1.4,0.08,3.9,13.7,256.72,1.97,150.81
-40,0.51,1.44,0.08,3.9,13.7,256.72,1.99,148.95
-30,0.51,1.47,0.08,3.9,13.7,256.72,2.01,147.08
-20,0.51,1.49,0.09,3.9,13.7,256.72,2.03,145.22
-10,0.51,1.51,0.09,3.89,13.68,257.25,2.09,149.99
0,0.51,1.51,0.09,3.88,13.67,257.79,2.14,154.77
10,0.51,1.5,0.09,3.87,13.65,258.32,2.19,159.55
20,0.51,1.49,0.1,3.86,13.64,258.86,2.24,164.32
30,0.51,1.46,0.1,3.85,13.62,259.39,2.29,169.1
40,0.51,1.43,0.1,3.83,13.6,259.93,2.34,173.88
50,0.51,1.38,0.1,3.82,13.6,259.93,2.46,177.85
60,0.51,1.33,0.1,3.8,13.6,259.93,2.58,181.82
70,0.51,1.27,0.1,3.78,13.6,259.93,2.7,185.8
80,0.51,1.2,0.1,3.77,13.6,259.93,2.82,189.77
90,0.51,1.12,0.1,3.75,13.6,259.93,2.94,193.75
100,0.51,1.04,0.1,3.73,13.6,259.93,3.05,197.72
110,0.51,0.94,0.1,3.71,13.59,259.93,3.24,200.72
120,0.51,0.84,0.1,3.69,13.57,259.93,3.42,203.72
130,0.51,0.73,0.1,3.67,13.56,259.93,3.61,206.72
140,0.51,0.62,0.1,3.64,13.54,259.93,3.79,209.72
150,0.51,0.5,0.1,3.62,13.53,259.93,3.98,212.72
160,0.51,0.38,0.1,3.6,13.51,259.93,4.16,215.71
170,0.51,0.25,0.1,3.57,13.51,260.11,4.33,213.45
180,0.51,0.12,0.1,3.55,13.51,260.29,4.5,211.19
