t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.4,0.28,-0.23,1.91,15.48,263.02,8.63,65.5
-170,0.4,0.46,-0.23,1.91,15.45,262.97,8.64,65.61
-160,0.4,0.65,-0.23,1.91,15.42,262.92,8.64,65.71
-150,0.4,0.83,-0.23,1.91,15.39,262.87,8.64,65.82
-140,0.4,1.0,-0.23,1.92,15.36,262.82,8.65,65.92
-130,0.4,1.16,-0.23,1.92,15.33,262.77,8.65,66.02
-120,0.4,1.32,-0.22,1.92,15.3,262.72,8.65,66.13
-110,0.4,1.46,-0.22,1.92,15.27,262.67,8.66,66.23
-100,0.4,1.6,-0.22,1.92,15.24,262.62,8.66,66.34
-90,0.4,1.72,-0.22,1.92,15.21,262.56,8.66,66.44
-80,0.4,1.83,-0.22,1.92,15.18,262.51,8.67,66.54
-70,0.4,1.92,-0.22,1.92,15.14,262.46,8.67,66.65
-60,0.4,2.0,-0.22,1.92,15.11,262.41,8.67,66.75
-50,0.4,2.07,-0.22,1.92,15.08,262.36,8.68,66.86
-40,0.4,2.13,-0.22,1.92,15.05,262.31,8.68,66.96
-30,0.4,2.17,-0.22,1.92,15.02,262.26,8.68,67.06
-20,0.4,2.2,-0.22,1.92,14.99,262.21,8.69,67.17
-10,0.4,2.21,-0.22,1.92,14.96,262.16,8.69,67.27
0,0.4,2.21,-0.22,1.92,14.93,262.11,8.69,67.38
10,0.4,2.2,-0.22,1.92,14.9,262.06,8.7,67.48
20,0.4,2.17,-0.22,1.92,14.87,262.01,8.7,67.58
30,0.4,2.13,-0.22,1.92,14.84,261.96,8.7,67.69
40,0.4,2.08,-0.22,1.93,14.81,261.9,8.71,67.79
50,0.4,2.01,-0.21,1.93,14.78,261.85,8.71,67.9
60,0.4,1.93,-0.21,1.93,14.75,261.8,8.72,68.0
70,0.4,1.84,-0.21,1.93,14.72,261.75,8.72,68.1
80,0.4,1.74,-0.21,1.93,14.69,261.7,8.72,68.21
90,0.4,1.62,-0.21,1.93,14.66,261.65,8.73,68.31
100,0.4,1.49,-0.21,1.93,14.63,261.6,8.73,68.41
110,0.4,1.36,-0.21,1.93,14.6,261.55,8.73,68.52
120,0.4,1.21,-0.21,1.93,14.57,261.53,8.71,68.68
130,0.4,1.05,-0.21,1.93,14.55,261.51,8.69,68.84
140,0.4,0.89,-0.21,1.92,14.53,261.48,8.67,69.0
150,0.4,0.72,-0.21,1.92,14.51,261.46,8.65,69.16
160,0.4,0.54,-0.21,1.92,14.49,261.44,8.63,69.32
170,0.4,0.36,-0.21,1.92,14.47,261.42,8.61,69.48
180,0.4,0.17,-0.21,1.92,14.44,261.4,8.6,69.64
