t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.31,-0.05,0.79,6.09,19.0,240.49,15.43,8.61
-170,1.31,0.14,0.78,6.1,18.99,241.2,15.41,9.37
-160,1.31,0.31,0.78,6.11,18.97,242.4,15.39,10.46
-150,1.31,0.49,0.78,6.12,18.9,243.76,15.32,11.18
-140,1.31,0.66,0.77,6.13,18.84,244.62,15.3,11.45
-130,1.31,0.82,0.77,6.14,18.82,245.57,15.25,11.37
-120,1.31,0.97,0.77,6.16,18.77,245.95,15.2,11.82
-110,1.31,1.11,0.77,6.17,18.75,246.03,15.16,12.64
-100,1.31,1.24,0.78,6.18,18.74,246.44,15.12,13.14
-90,1.31,1.36,0.78,6.19,18.77,246.69,15.09,13.61
-80,1.31,1.48,0.78,6.2,18.82,247.29,15.02,14.53
-70,1.31,1.58,0.78,6.21,18.86,247.92,14.95,15.42
-60,1.31,1.66,0.78,6.22,18.92,248.94,14.85,15.76
-50,1.31,1.74,0.78,6.22,18.95,249.91,14.79,16.95
-40,1.31,1.8,0.78,6.22,18.97,250.84,14.76,18.94
-30,1.31,1.84,0.77,6.23,19.0,251.96,14.67,20.3
-20,1.31,1.87,0.77,6.24,19.03,252.61,14.59,21.86
-10,1.31,1.89,0.77,6.24,19.06,252.88,14.54,24.33
0,1.31,1.9,0.78,6.25,19.1,252.93,14.53,26.1
10,1.31,1.9,0.78,6.25,19.14,252.94,14.45,27.08
20,1.31,1.87,0.78,6.26,19.14,252.85,14.36,27.73
30,1.31,1.84,0.78,6.26,19.18,252.82,14.29,28.29
40,1.31,1.8,0.78,6.27,19.21,253.22,14.25,28.87
50,1.31,1.75,0.78,6.26,19.22,253.62,14.23,28.68
60,1.31,1.69,0.78,6.28,19.25,253.81,14.25,29.18
70,1.31,1.62,0.77,6.28,19.33,254.5,14.29,29.38
80,1.31,1.53,0.77,6.29,19.39,255.17,14.37,29.09
90,1.31,1.44,0.77,6.29,19.41,255.86,14.45,29.52
100,1.31,1.33,0.77,6.29,19.44,256.37,14.48,30.75
110,1.31,1.22,0.76,6.3,19.5,257.22,14.5,31.09
120,1.31,1.11,0.77,6.3,19.52,257.9,14.5,31.22
130,1.31,0.98,0.76,6.31,19.5,258.31,14.55,31.91
140,1.31,0.85,0.75,6.31,19.52,258.64,14.67,31.49
150,1.31,0.71,0.76,6.32,19.53,258.69,14.79,31.28
160,1.31,0.57,0.76,6.33,19.51,258.94,14.93,31.35
170,1.31,0.43,0.76,6.33,19.5,258.82,15.05,32.5
180,1.31,0.28,0.76,6.34,19.5,258.79,15.16,33.52
