t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.551,0.09,0.52,5.64,14.6,240.66,12.56,213.78
-170,0.551,0.28,0.52,5.67,14.83,240.74,12.59,213.56
-160,0.551,0.46,0.53,5.69,15.07,240.82,12.61,213.33
-150,0.551,0.64,0.53,5.72,15.3,240.89,12.63,213.11
-140,0.551,0.81,0.53,5.75,15.54,240.97,12.66,212.89
-130,0.551,0.98,0.53,5.77,15.77,241.05,12.68,212.66
-120,0.551,1.14,0.53,5.8,16.01,241.12,12.71,212.44
-110,0.551,1.28,0.53,5.82,16.24,241.2,12.73,212.21
-100,0.551,1.42,0.54,5.85,16.48,241.28,12.75,211.99
-90,0.551,1.54,0.54,5.87,16.72,241.35,12.78,211.76
-80,0.551,1.66,0.54,5.9,16.95,241.43,12.8,211.54
-70,0.551,1.76,0.54,5.93,17.19,241.51,12.83,211.31
-60,0.551,1.84,0.54,5.95,17.42,241.58,12.85,211.09
-50,0.551,1.91,0.54,5.98,17.66,241.66,12.87,210.87
-40,0.551,1.97,0.55,6.0,17.89,241.74,12.9,210.64
-30,0.551,2.01,0.55,6.03,18.13,241.81,12.92,210.42
-20,0.551,2.04,0.55,6.06,18.36,241.89,12.95,210.19
-10,0.551,2.06,0.55,6.08,18.6,241.97,12.97,209.97
0,0.551,2.06,0.55,6.11,18.83,242.04,12.99,209.74
10,0.551,2.05,0.55,6.13,19.07,242.12,13.02,209.52
20,0.551,2.02,0.56,6.16,19.3,242.19,13.04,209.3
30,0.551,1.98,0.56,6.18,19.54,242.27,13.07,209.07
40,0.551,1.93,0.56,6.22,19.54,242.22,13.13,210.02
50,0.551,1.87,0.55,6.25,19.54,242.17,13.19,210.97
60,0.551,1.79,0.55,6.29,19.54,242.12,13.24,211.92
70,0.551,1.71,0.55,6.32,19.54,242.07,13.3,212.87
80,0.551,1.61,0.55,6.35,19.54,242.02,13.36,213.82
90,0.551,1.51,0.55,6.39,19.54,241.97,13.42,214.77
100,0.551,1.39,0.55,6.42,19.54,241.91,13.48,215.72
110,0.551,1.27,0.55,6.46,19.54,241.86,13.54,216.67
120,0.551,1.13,0.55,6.49,19.54,241.81,13.6,217.62
130,0.551,0.99,0.54,6.52,19.54,241.76,13.66,218.57
140,0.551,0.85,0.54,6.56,19.54,241.71,13.72,219.52
150,0.551,0.69,0.54,6.59,19.54,241.66,13.78,220.47
160,0.551,0.53,0.54,6.63,19.54,241.61,13.84,221.42
170,0.551,0.37,0.54,6.66,19.54,241.56,13.9,222.37
180,0.551,0.21,0.54,6.69,19.54,241.51,13.95,223.32
