t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.699,0.24,0.24,3.89,11.91,236.76,15.79,209.13
-170,0.699,0.43,0.24,3.92,11.87,236.53,16.17,211.77
-160,0.699,0.61,0.24,3.95,11.83,236.3,16.55,214.42
-150,0.699,0.79,0.24,3.99,11.79,236.07,16.88,215.57
-140,0.699,0.96,0.24,4.02,11.75,235.84,17.21,216.72
-130,0.699,1.12,0.24,4.05,11.71,235.61,17.53,217.86
-120,0.699,1.27,0.24,4.09,11.67,235.38,17.86,219.01
-110,0.699,1.42,0.24,4.12,11.63,235.15,18.19,220.16
-100,0.699,1.55,0.24,4.15,11.58,234.92,18.51,221.31
-90,0.699,1.68,0.24,4.19,11.54,234.69,18.53,221.62
-80,0.699,1.79,0.24,4.22,11.5,234.46,18.54,221.93
-70,0.699,1.89,0.24,4.25,11.46,234.23,18.56,222.25
-60,0.699,1.98,0.24,4.29,11.42,234.0,18.57,222.56
-50,0.699,2.05,0.24,4.32,11.38,233.77,18.59,222.87
-40,0.699,2.12,0.24,4.35,11.34,233.54,18.6,223.18
-30,0.699,2.17,0.24,4.39,11.3,233.31,18.54,223.57
-20,0.699,2.2,0.24,4.42,11.26,233.09,18.47,223.96
-10,0.699,2.22,0.24,4.45,11.21,232.86,18.4,224.35
0,0.699,2.23,0.24,4.49,11.17,232.63,18.33,224.74
10,0.699,2.23,0.24,4.52,11.13,232.4,18.26,225.13
20,0.699,2.21,0.24,4.55,11.09,232.17,18.19,225.52
30,0.699,2.18,0.24,4.59,11.05,231.94,18.11,226.25
40,0.699,2.13,0.24,4.62,11.01,231.71,18.02,226.98
50,0.699,2.07,0.24,4.65,10.97,231.48,17.94,227.71
60,0.699,2.0,0.24,4.69,10.93,231.25,17.86,228.43
70,0.699,1.91,0.23,4.72,10.88,231.02,17.78,229.16
80,0.699,1.82,0.23,4.75,10.84,230.79,17.7,229.89
90,0.699,1.7,0.23,4.79,10.8,230.56,17.74,230.5
100,0.699,1.58,0.23,4.82,10.76,230.33,17.79,231.11
110,0.699,1.45,0.23,4.85,10.72,230.1,17.83,231.73
120,0.699,1.3,0.23,4.89,10.68,229.87,17.88,232.34
130,0.699,1.14,0.23,4.92,10.64,229.64,17.92,232.95
140,0.699,0.98,0.23,4.95,10.6,229.41,17.96,233.56
150,0.699,0.81,0.23,4.95,10.6,229.49,17.93,234.22
160,0.699,0.63,0.23,4.94,10.6,229.56,17.89,234.89
170,0.699,0.44,0.22,4.93,10.6,229.64,17.85,235.55
180,0.699,0.25,0.22,4.93,10.6,229.72,17.82,236.21
