t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.7,0.41,0.2,1.11,11.84,268.43,7.27,27.1
-170,0.7,0.62,0.19,1.1,11.83,268.44,7.26,26.92
-160,0.7,0.82,0.19,1.1,11.82,268.44,7.25,26.73
-150,0.7,1.02,0.19,1.1,11.81,268.44,7.24,26.54
-140,0.7,1.2,0.19,1.09,11.8,268.45,7.24,26.36
-130,0.7,1.38,0.19,1.09,11.78,268.45,7.23,26.17
-120,0.7,1.55,0.19,1.08,11.77,268.46,7.22,25.99
-110,0.7,1.71,0.19,1.08,11.76,268.46,7.2,25.8
-100,0.7,1.86,0.19,1.08,11.75,268.47,7.2,25.62
-90,0.7,1.99,0.19,1.07,11.74,268.47,7.19,25.43
-80,0.7,2.11,0.19,1.07,11.73,268.47,7.18,25.25
-70,0.7,2.22,0.19,1.06,11.72,268.48,7.17,25.06
-60,0.7,2.31,0.19,1.06,11.71,268.48,7.16,24.88
-50,0.7,2.39,0.19,1.06,11.69,268.49,7.16,24.69
-40,0.7,2.45,0.19,1.05,11.67,268.49,7.15,24.51
-30,0.7,2.5,0.19,1.05,11.66,268.5,7.14,24.32
-20,0.7,2.53,0.19,1.05,11.65,268.5,7.13,24.14
-10,0.7,2.55,0.19,1.04,11.64,268.5,7.13,23.95
0,0.7,2.56,0.19,1.04,11.63,268.51,7.12,23.77
10,0.7,2.54,0.18,1.03,11.62,268.51,7.11,23.58
20,0.7,2.52,0.18,1.03,11.61,268.52,7.1,23.39
30,0.7,2.47,0.18,1.03,11.6,268.52,7.09,23.21
40,0.7,2.41,0.18,1.02,11.58,268.52,7.09,23.02
50,0.7,2.34,0.18,1.02,11.57,268.53,7.08,22.84
60,0.7,2.25,0.18,1.01,11.55,268.6,7.05,22.78
70,0.7,2.14,0.18,1.01,11.54,268.67,7.02,22.72
80,0.7,2.02,0.18,1.0,11.52,268.74,6.98,22.66
90,0.7,1.89,0.18,1.0,11.5,268.81,6.95,22.59
100,0.7,1.74,0.18,1.0,11.48,268.88,6.92,22.53
110,0.7,1.58,0.18,0.99,11.45,268.95,6.89,22.47
120,0.7,1.4,0.17,0.99,11.43,269.02,6.86,22.41
130,0.7,1.22,0.17,0.98,11.41,269.09,6.84,22.35
140,0.7,1.03,0.17,0.98,11.39,269.16,6.81,22.29
150,0.7,0.82,0.17,0.97,11.38,269.23,6.77,22.23
160,0.7,0.61,0.17,0.97,11.36,269.3,6.74,22.17
170,0.7,0.4,0.17,0.96,11.34,269.36,6.71,22.1
180,0.7,0.18,0.17,0.96,11.32,269.43,6.68,22.04
