t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.499,0.24,0.24,2.89,11.91,236.76,10.79,209.13
-170,0.499,0.43,0.24,2.92,11.87,236.53,11.17,211.77
-160,0.499,0.61,0.24,2.95,11.83,236.3,11.55,214.42
-150,0.499,0.79,0.24,2.99,11.79,236.07,11.88,215.57
-140,0.499,0.96,0.24,3.02,11.75,235.84,12.21,216.72
-130,0.499,1.12,0.24,3.05,11.71,235.61,12.53,217.86
-120,0.499,1.27,0.24,3.09,11.67,235.38,12.86,219.01
-110,0.499,1.42,0.24,3.12,11.63,235.15,13.19,220.16
-100,0.499,1.55,0.24,3.15,11.58,234.92,13.51,221.31
-90,0.499,1.68,0.24,3.19,11.54,234.69,13.53,221.62
-80,0.499,1.79,0.24,3.22,11.5,234.46,13.54,221.93
-70,0.499,1.89,0.24,3.25,11.46,234.23,13.56,222.25
-60,0.499,1.98,0.24,3.29,11.42,234.0,13.57,222.56
-50,0.499,2.05,0.24,3.32,11.38,233.77,13.59,222.87
-40,0.499,2.12,0.24,3.35,11.34,233.54,13.6,223.18
-30,0.499,2.17,0.24,3.39,11.3,233.31,13.54,223.57
-20,0.499,2.2,0.24,3.42,11.26,233.09,13.47,223.96
-10,0.499,2.22,0.24,3.45,11.21,232.86,13.4,224.35
0,0.499,2.23,0.24,3.49,11.17,232.63,13.33,224.74
10,0.499,2.23,0.24,3.52,11.13,232.4,13.26,225.13
20,0.499,2.21,0.24,3.55,11.09,232.17,13.19,225.52
30,0.499,2.18,0.24,3.59,11.05,231.94,13.11,226.25
40,0.499,2.13,0.24,3.62,11.01,231.71,13.02,226.98
50,0.499,2.07,0.24,3.65,10.97,231.48,12.94,227.71
60,0.499,2.0,0.24,3.69,10.93,231.25,12.86,228.43
70,0.499,1.91,0.23,3.72,10.88,231.02,12.78,229.16
80,0.499,1.82,0.23,3.75,10.84,230.79,12.7,229.89
90,0.499,1.7,0.23,3.79,10.8,230.56,12.74,230.5
100,0.499,1.58,0.23,3.82,10.76,230.33,12.79,231.11
110,0.499,1.45,0.23,3.85,10.72,230.1,12.83,231.73
120,0.499,1.3,0.23,3.89,10.68,229.87,12.88,232.34
130,0.499,1.14,0.23,3.92,10.64,229.64,12.92,232.95
140,0.499,0.98,0.23,3.95,10.6,229.41,12.96,233.56
150,0.499,0.81,0.23,3.95,10.6,229.49,12.93,234.22
160,0.499,0.63,0.23,3.94,10.6,229.56,12.89,234.89
170,0.499,0.44,0.22,3.93,10.6,229.64,12.85,235.55
180,0.499,0.25,0.22,3.93,10.6,229.72,12.82,236.21
