t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,0.42,0.04,0.03,2.53,10.94,258.05,9.06,193.3
-170,0.42,0.11,0.03,2.52,10.93,258.08,9.05,193.01
-160,0.42,0.17,0.03,2.52,10.93,258.11,9.04,192.73
-150,0.42,0.23,0.03,2.51,10.92,258.14,9.03,192.44
-140,0.42,0.29,0.03,2.51,10.92,258.16,9.02,192.16
-130,0.42,0.35,0.03,2.51,10.91,258.19,9.02,191.87
-120,0.42,0.4,0.03,2.5,10.91,258.22,9.01,191.59
-110,0.42,0.45,0.03,2.5,10.91,258.25,9.0,191.3
-100,0.42,0.5,0.04,2.49,10.9,258.28,8.99,191.02
-90,0.42,0.54,0.04,2.49,10.9,258.31,8.98,190.73
-80,0.42,0.57,0.04,2.48,10.89,258.33,8.98,190.45
-70,0.42,0.61,0.04,2.48,10.89,258.36,8.97,190.16
-60,0.42,0.63,0.04,2.48,10.88,258.39,8.96,189.88
-50,0.42,0.66,0.04,2.47,10.88,258.42,8.95,189.59
-40,0.42,0.67,0.04,2.47,10.87,258.45,8.95,189.31
-30,0.42,0.69,0.04,2.46,10.87,258.47,8.94,189.02
-20,0.42,0.7,0.04,2.46,10.86,258.5,8.93,188.74
-10,0.42,0.7,0.04,2.46,10.86,258.53,8.92,188.45
0,0.42,0.71,0.04,2.45,10.85,258.56,8.91,188.17
10,0.42,0.7,0.04,2.45,10.85,258.59,8.91,187.88
20,0.42,0.7,0.04,2.44,10.85,258.61,8.9,187.6
30,0.42,0.69,0.04,2.44,10.84,258.64,8.89,187.32
40,0.42,0.68,0.04,2.43,10.84,258.67,8.88,187.03
50,0.42,0.66,0.04,2.43,10.83,258.7,8.87,186.75
60,0.42,0.65,0.04,2.43,10.83,258.73,8.87,186.46
70,0.42,0.63,0.04,2.42,10.82,258.76,8.86,186.18
80,0.42,0.6,0.04,2.42,10.82,258.78,8.81,186.7
90,0.42,0.57,0.04,2.41,10.82,258.81,8.77,187.23
100,0.42,0.54,0.05,2.41,10.82,258.84,8.73,187.75
110,0.42,0.51,0.05,2.41,10.82,258.87,8.68,188.28
120,0.42,0.48,0.05,2.4,10.82,258.9,8.64,188.8
130,0.42,0.44,0.05,2.4,10.82,258.92,8.59,189.33
140,0.42,0.4,0.05,2.39,10.82,258.95,8.55,189.85
150,0.42,0.36,0.05,2.39,10.82,258.98,8.51,190.38
160,0.42,0.31,0.05,2.39,10.82,259.01,8.46,190.9
170,0.42,0.26,0.05,2.38,10.82,259.04,8.42,191.43
180,0.42,0.21,0.05,2.38,10.82,259.07,8.37,191.95
