t_min,NM_m_IGN69,T_m_NM,S_m,Hs_m,Tp_s,Dp_deg,U_m_s,DU_deg
-180,1.06,0.31,0.77,6.34,13.54,252.27,16.01,4.83
-170,1.06,0.48,0.77,6.34,13.58,252.64,16.07,4.72
-160,1.06,0.65,0.77,6.33,13.65,253.53,16.16,4.08
-150,1.06,0.81,0.77,6.34,13.72,255.02,16.26,3.07
-140,1.06,0.96,0.76,6.33,13.76,256.81,16.33,1.84
-130,1.06,1.12,0.76,6.32,13.78,257.9,16.41,1.2
-120,1.06,1.26,0.76,6.32,13.83,259.59,16.51,0.87
-110,1.06,1.4,0.76,6.32,13.92,260.85,16.58,0.12
-100,1.06,1.52,0.76,6.31,13.99,262.16,16.58,359.59
-90,1.06,1.64,0.75,6.31,14.08,262.97,16.63,358.25
-80,1.06,1.75,0.74,6.3,14.17,263.56,16.69,357.02
-70,1.06,1.84,0.75,6.3,14.25,264.15,16.79,355.52
-60,1.06,1.93,0.74,6.3,14.27,263.93,16.91,354.95
-50,1.06,2.0,0.74,6.3,14.33,264.55,17.01,354.26
-40,1.06,2.07,0.75,6.29,14.38,265.1,17.07,354.1
-30,1.06,2.12,0.75,6.28,14.42,265.68,17.12,353.88
-20,1.06,2.16,0.75,6.28,14.42,265.92,17.14,354.03
-10,1.06,2.19,0.75,6.28,14.44,266.33,17.13,354.54
0,1.06,2.2,0.75,6.27,14.46,267.16,17.1,354.39
10,1.06,2.19,0.75,6.27,14.47,267.99,17.04,354.79
20,1.06,2.17,0.75,6.26,14.45,268.68,17.05,354.97
30,1.06,2.14,0.75,6.26,14.46,269.61,17.03,354.1
40,1.06,2.08,0.75,6.26,14.46,270.58,17.05,352.95
50,1.06,2.02,0.75,6.25,14.46,271.21,17.04,351.55
60,1.06,1.94,0.75,6.25,14.45,271.61,17.03,349.38
70,1.06,1.84,0.75,6.25,14.4,271.78,17.02,347.31
80,1.06,1.73,0.76,6.24,14.32,272.12,17.02,345.09
90,1.06,1.6,0.76,6.23,14.24,272.53,17.0,343.45
100,1.06,1.47,0.75,6.22,14.18,273.16,16.97,342.23
110,1.06,1.31,0.75,6.22,14.11,273.96,16.95,340.77
120,1.06,1.14,0.74,6.21,14.04,274.92,16.86,339.78
130,1.06,0.97,0.74,6.21,13.95,275.6,16.78,337.99
140,1.06,0.79,0.74,6.21,13.85,275.84,16.7,337.09
150,1.06,0.58,0.74,6.2,13.74,275.44,16.6,336.81
160,1.06,0.39,0.74,6.2,13.6,274.97,16.49,336.56
170,1.06,0.17,0.74,6.19,13.48,274.27,16.39,336.31
180,1.06,-0.04,0.74,6.18,13.37,273.74,16.34,337.22
